split,label,internal_label,f1_score,sensitivity,specificity,auc,support
val,NORM,Normal,0.9960159362549801,1.0,0.9972677595628415,0.9998469945355192,125
val,AMI,Anterior,0.9813664596273292,0.9753086419753086,0.9975609756097561,0.998855766335441,81
val,IMI,Inferior,0.9900332225913622,0.9867549668874173,0.9970588235294118,0.9989287105570706,151
val,Lateral-involved MI,Lateral,0.9814126394052045,0.9850746268656716,0.9915966386554622,0.9980768426773694,134
test,NORM,Normal,0.9419795221843004,0.9787234042553191,0.9617486338797814,0.9888191295585784,141
test,AMI,Anterior,0.8047337278106509,0.7010309278350515,0.9902439024390244,0.928790545637415,97
test,IMI,Inferior,0.7185354691075515,0.8532608695652174,0.7027863777089783,0.8747980885718131,184
test,Lateral-involved MI,Lateral,0.0,0.0,0.9289099526066351,0.9071090047393364,85
