split,macro_f1,micro_f1,weighted_f1,accuracy,loss
val,0.9859255071282076,0.9857142857142858,0.985652280438592,0.9857142857142858,0.06273758567261453
test,0.8586453332641821,0.8579881656804734,0.8558588406938401,0.8579881656804734,0.6420728933117563
