split,label,internal_label,f1_score,sensitivity,specificity,auc,support
val,NORM,Normal,0.9892597968069666,0.9878260869565217,0.9957207809574753,0.9997041757270602,1725
val,AMI,Anterior,0.9928774928774928,0.9921708185053381,0.9977827050997783,0.9999480965369343,1405
val,IMI,Inferior,0.989010989010989,0.9894459102902374,0.9918495297805643,0.9996752163615961,2274
val,LMI,Lateral,0.96,1.0,0.9990747594374537,1.0,60
test,NORM,Normal,0.836981715168684,0.7997047244094488,0.9569113441372736,0.9758045720333577,2032
test,AMI,Anterior,0.6500473335437046,0.5936599423631124,0.9271021291952364,0.8371020043950467,1735
test,IMI,Inferior,0.7560464140919894,0.8074051955807704,0.719959266802444,0.8210997035927069,3349
test,LMI,Lateral,0.9169054441260746,0.9937888198757764,0.9960652051714446,0.9999642132679746,161
