epoch,train_loss,val_loss,train_macro_f1,val_macro_f1,train_accuracy,val_accuracy,learning_rate,epoch_time,train_f1_Normal,val_f1_Normal,train_f1_Anterior,val_f1_Anterior,train_f1_Inferior,val_f1_Inferior,train_f1_Lateral,val_f1_Lateral
1,1.2823205953153163,1.1899225729231575,0.30570926466543036,0.2794607544133915,0.39577139081598944,0.5025137658606655,0.0001,2.4189579486846924,0.4647739221871714,0.6613896218117854,0.4802158273381295,0.272028920018075,0.27784730913642053,0.1844244758237056,0.0,0.0
2,1.1749064225665327,0.8080653809138816,0.3590344878680696,0.39644363537704613,0.47142385199867853,0.7733620620860266,0.0001,2.2500979900360107,0.5913928736695974,0.8834558272086396,0.5614552605703048,0.4318181818181818,0.283289817232376,0.27050053248136313,0.0,0.0
3,1.123455095968508,0.7453436798608348,0.3940619351276382,0.42539823932260656,0.5071027419887677,0.8186896496688213,0.0001,2.312530279159546,0.6148215919487648,0.9086642080559414,0.5893970893970893,0.46283987915407854,0.36600496277915634,0.33008887008040627,0.006024096385542169,0.0
4,1.0740011305079666,0.68940066168708,0.4433898096356374,0.4374989643023788,0.540799471423852,0.8160561806719336,0.0001,2.3679039478302,0.6398824105830475,0.9105667060212514,0.5929806181246726,0.4899497487437186,0.46092413006274957,0.34947940244454506,0.07977207977207977,0.0
5,1.017699672811922,0.5991175514903399,0.4898574789497733,0.4335742014574399,0.5675586389164189,0.8350490782858511,0.0001,2.231130361557007,0.6620416253716551,0.9206454991193411,0.611578947368421,0.49265078560567666,0.4976905311778291,0.32100052110474203,0.18811881188118812,0.0
6,0.9682600155969953,0.5778545630576557,0.5260273620228064,0.4624847037825896,0.5853980839114635,0.8384805681908866,0.0001,2.2128853797912598,0.6784313725490196,0.9210224009190121,0.6111417539988968,0.4853503184713376,0.5255972696245734,0.44356609574000877,0.28893905191873587,0.0
7,0.9349551924707711,0.5936657840927242,0.5599254379767293,0.48409131643506986,0.6197555335315494,0.8257920357513366,0.0001,2.2015743255615234,0.6974833076527992,0.9135059201284367,0.642976124375347,0.496037296037296,0.5967213114754099,0.5268220495745468,0.3025210084033613,0.0
8,0.8652797046769442,0.7159723915036625,0.6046322852111572,0.47920411096299664,0.6531219028741329,0.7650626446412896,0.0001,2.2080230712890625,0.7192890747516989,0.8728904080324716,0.6670341786108048,0.4845961698584513,0.6425438596491229,0.5185655347508727,0.38966202783300197,0.04076433121019108
9,0.8349526950263095,0.7165278678461309,0.615121710478038,0.4654471687522667,0.6610505450941526,0.7494214348415928,0.0001,2.2027218341827393,0.7114093959731543,0.8600390286209887,0.67779632721202,0.46165137614678897,0.6644370122630993,0.506815365551425,0.4068441064638783,0.03328290468986384
10,0.8171597202500771,0.6060225252960183,0.6200162064524539,0.4904854918311653,0.6673273868516684,0.7921155534274998,0.0001,2.2105276584625244,0.721875,0.8903637123745819,0.681668496158068,0.509090909090909,0.6703910614525139,0.535136918508743,0.4061302681992337,0.02735042735042735
11,0.768352346999991,0.7373568730764897,0.6541106906028263,0.4621344980894125,0.6917740336967294,0.7296305163195276,0.0001,2.2040045261383057,0.7215189873417721,0.8480627867130934,0.7098865478119936,0.43743906402339944,0.7054833239118146,0.5118733509234829,0.4795539033457249,0.05116279069767442
12,0.7451552779201158,0.5394014632194822,0.6749194949506996,0.5257896768105356,0.7049884373967624,0.8272284733860027,0.0001,2.2044930458068848,0.7339743589743589,0.9136973856868881,0.7272727272727273,0.5405960945529291,0.7103218645948945,0.584064048799085,0.5281090289608177,0.06480117820324006
13,0.7048983202147571,0.6784745592158102,0.6940358123794392,0.489552530516687,0.7195242814667988,0.7455111323916687,0.0001,2.2031023502349854,0.7509413663259817,0.8541006879982527,0.7287671232876712,0.5155592935239697,0.7229580573951435,0.5461847389558233,0.5734767025089605,0.04236540158870256
14,0.6906199646854622,0.514053239863104,0.7157228089637235,0.5241977555662161,0.7340601255368352,0.8214029207565238,0.0001,2.1981115341186523,0.7506760411032991,0.9098989898989899,0.7505543237250555,0.5547835382148584,0.7370761534185659,0.5682515337423313,0.6245847176079734,0.06385696040868455
15,0.6730768412971875,0.7381397612733592,0.7241359238455145,0.46386318105606683,0.7383548067393458,0.7126326709759796,0.0001,2.2064132690429688,0.7844638949671773,0.8315842639878781,0.7437465258476932,0.44694533762057875,0.7164345403899721,0.5303281405369572,0.6518987341772152,0.04659498207885305
16,0.6413571484064481,0.7352080320705011,0.7498116580654186,0.47420589233605603,0.7578460521968946,0.7132710877024978,0.0001,2.199688673019409,0.7712276906435911,0.8277611772002029,0.7729789590254706,0.4730234136409908,0.7453625632377741,0.5514845230574857,0.7096774193548387,0.04455445544554455
17,0.6310174518935863,0.5807641079644424,0.7470918167348051,0.5092597397362174,0.7545424512718863,0.7744792913574335,0.0001,2.210326671600342,0.7684563758389261,0.872275477962834,0.7583892617449665,0.5470502194051682,0.7538293216630197,0.5687699912765338,0.7076923076923077,0.048943270300333706
18,0.6190142184151334,0.6673748857167721,0.761706565850575,0.4894148373135515,0.7657746944169145,0.7338600271327109,5e-05,2.1988770961761475,0.7758433079434167,0.8433921557780605,0.7745535714285714,0.5135254988913526,0.7554560716284275,0.5598611914401388,0.7409733124018838,0.040880503144654086
19,0.573790011781649,0.5204904362834011,0.7890525892322799,0.5193212348297733,0.7898909811694748,0.8013725959620142,5e-05,2.2054052352905273,0.8035126234906695,0.8922065041499191,0.7950589556428973,0.531951640759931,0.7726763717805151,0.573918873617164,0.7849624060150376,0.07920792079207921
