,I,aVL,II,III,aVF,aVR,V1,V2,V3,V4,V5,V6
NORM,0.08336275,0.08334618,0.08337435,0.08334957,0.083370395,0.08329742,0.08330971,0.0833057,0.083296485,0.08330688,0.08333161,0.08334892
AMI,2.3770122e-06,2.3804002e-06,2.375912e-06,2.3809528e-06,2.3774355e-06,2.3848195e-06,0.25045875,0.25018284,0.24980837,0.249531,2.37687e-06,2.377832e-06
IMI,6.2595836e-07,6.2548764e-07,0.33334994,0.3332047,0.33343974,6.28385e-07,6.271536e-07,6.2609695e-07,6.260004e-07,6.2679374e-07,6.27523e-07,6.2702355e-07
LMI,0.2498142,0.24980728,2.381402e-06,2.3794973e-06,2.380755e-06,2.3806726e-06,2.3824175e-06,2.380496e-06,2.3800728e-06,2.3823468e-06,0.2502597,0.25009948
