split,macro_f1,micro_f1,weighted_f1,balanced_accuracy,macro_auc,accuracy,loss
val,0.9871616013170572,0.9877551020408163,0.9877309700662549,0.9865433259073609,0.999346848194661,0.9877551020408163,0.050382756913194854
test,0.8900004680495108,0.8856015779092702,0.8860968028601653,0.8811406587440187,0.9797398079904935,0.8856015779092702,0.40236688906389345
