,I,aVL,II,III,aVF,aVR,V1,V2,V3,V4,V5,V6
NORM,0.08331456,0.083326854,0.08332868,0.083332136,0.0833288,0.08324454,0.08337425,0.08332395,0.08331034,0.08335984,0.083402306,0.08335474
AMI,2.38013e-06,2.3802443e-06,2.3792256e-06,2.379818e-06,2.379094e-06,2.3812295e-06,0.25005245,0.25008526,0.25004685,0.24979469,2.3776058e-06,2.3790074e-06
IMI,6.264553e-07,6.270492e-07,0.3328641,0.33383104,0.33330047,6.29366e-07,6.305852e-07,6.3024703e-07,6.293742e-07,6.2815207e-07,6.260713e-07,6.257165e-07
LMI,0.24999534,0.2499816,2.383307e-06,2.385235e-06,2.3843045e-06,2.3869688e-06,2.3832367e-06,2.3819764e-06,2.38191e-06,2.3820276e-06,0.24998167,0.25002232
