fold,strategy,epoch,train_loss,val_loss,train_macro_f1,val_macro_f1,learning_rate,epoch_time,L_BCE,L_ALPA,L_territory,L_exclusive,L_consistency
2,full_finetune,1,1.1221490284086952,1.1171922322729944,0.7187623591296459,0.7815449871916342,0.0005,1.0529379844665527,0.4603339731693268,2.152912974357605,0.5091154873371124,0.04311190048853556,0.002017454981493453
2,full_finetune,2,0.8645388349680834,0.9552682193232255,0.7238553986946953,0.8147913315627378,0.0005,1.0540077686309814,0.35832253098487854,2.063993493715922,0.4143202602863312,0.04596652276813984,0.001288377175418039
2,full_finetune,3,0.7891666318329287,0.9094210695212995,0.7920001832792531,0.8042792792792792,0.0005,1.0582177639007568,0.32599178453286487,1.9987719058990479,0.369846115509669,0.04152518262465795,0.001943916625653704
2,full_finetune,4,0.7218775707231441,0.9032298880563655,0.8209285396126428,0.8072300256934877,0.0005,1.0566654205322266,0.3281433780988057,2.0038673082987466,0.37975884477297467,0.03485816406706969,0.002177289493071536
2,full_finetune,5,0.6593890030619124,0.8716438009705342,0.8378258670789791,0.8273477751756442,0.0005,1.0583405494689941,0.3084409485260646,1.9874951839447021,0.3544774254163106,0.02707236756881078,0.0013000865001231432
2,full_finetune,6,0.6546862553542768,0.9069912828190226,0.8302864735418302,0.8333888091132486,0.0005,1.0449626445770264,0.3187424639860789,2.0081297159194946,0.3602324624856313,0.027344575772682827,0.0012217831099405885
2,full_finetune,7,0.6033586255261596,0.9140290928558564,0.8741380180166848,0.8339601121140678,0.0005,1.044356346130371,0.3195997675259908,1.9978318611780803,0.35326843957106274,0.02441118781765302,0.0013300439168233424
2,full_finetune,8,0.5814160377206937,0.9561050458693169,0.8717070397018558,0.8288905630165433,0.0005,1.0436692237854004,0.35527096688747406,1.9610182046890259,0.39383047819137573,0.02456448506563902,0.0013504044812483091
2,full_finetune,9,0.5714527616198634,0.9147512492999225,0.8619292601749439,0.8371829710144928,0.0005,1.0428674221038818,0.3145255396763484,1.9778318802515666,0.34360092381636304,0.02399113029241562,0.0017813437928756077
2,full_finetune,10,0.5620892736273753,0.960346800340733,0.8615538705739456,0.8211245676082336,0.0005,1.046994686126709,0.35884495576222736,2.0167621771494546,0.4209544559319814,0.02566133439540863,0.0023546738860507808
2,full_finetune,11,0.5246893675394462,0.9520471373074492,0.9053181960275093,0.80803891143471,0.00025,1.0472209453582764,0.3587917238473892,1.9595558643341064,0.4155054986476898,0.025894031083832186,0.002116213048187395
2,full_finetune,12,0.48660200288597966,0.9637517526116169,0.8965741584638933,0.8441120041483018,0.00025,1.0499720573425293,0.3735382358233134,1.9931191603342693,0.4405040442943573,0.023226043830315273,0.0015244420695429046
2,full_finetune,13,0.4786816226764464,1.0037462610593983,0.9294647000916244,0.8265262967820417,0.00025,1.0580761432647705,0.4066581130027771,2.0117514530817666,0.49144238233566284,0.02261851665874322,0.0015968317942072947
2,full_finetune,14,0.4875267970729882,0.9805839792103834,0.9052385951759294,0.8323632217759693,0.00025,1.0489881038665771,0.37808725237846375,2.0032807191212973,0.43974098563194275,0.0183153273537755,0.0017142209690064192
2,full_finetune,15,0.46920468269939153,0.9818692207336426,0.9091148007578054,0.8308279162152401,0.00025,1.0486326217651367,0.3724611351887385,1.9952607949574788,0.43277908364931744,0.019648808365066845,0.001657999896754821
2,full_finetune,16,0.44412663243186307,0.9774633486505965,0.9492550822825766,0.8412315317062731,0.00025,1.0496435165405273,0.3642723113298416,1.9865902264912922,0.41944365700085956,0.015177417236069838,0.0014648620660106342
2,full_finetune,17,0.4599292425202652,1.0295474974202439,0.9230638712860404,0.8224538719891371,0.000125,1.0602362155914307,0.4316360652446747,1.997354507446289,0.5102033317089081,0.019978792096177738,0.002090627638002237
2,full_finetune,18,0.4369404005332732,1.0407797811736523,0.9507648092443616,0.8429255636680902,0.000125,1.0473854541778564,0.4426966806252797,2.0225473244984946,0.5227064788341522,0.013881904538720846,0.0018744020101924737
2,full_finetune,19,0.4366122517787235,1.0253058059114806,0.9316642027668192,0.8441510538641687,0.000125,1.0474708080291748,0.42127575476964313,2.030651609102885,0.4939427375793457,0.012341181592394909,0.0020082186286648116
2,full_finetune,20,0.42249142787825894,1.0154739206945393,0.9522711199175259,0.8482106782106782,0.000125,1.0532193183898926,0.40815800428390503,2.015533208847046,0.4754688839117686,0.013007334743936857,0.0021114081609994173
