strategy,fold,status,error,train_main_macro_f1,val_main_macro_f1,test_main_macro_f1,test_main_micro_f1,test_main_weighted_f1,test_accuracy,test_balanced_accuracy,test_macro_auc,test_loss,checkpoint_path,output_dir,trainable_params,total_params,trainable_ratio,train_f1_NORM,val_f1_NORM,test_f1_NORM,test_sensitivity_NORM,test_specificity_NORM,test_auc_NORM,train_f1_AMI,val_f1_AMI,test_f1_AMI,test_sensitivity_AMI,test_specificity_AMI,test_auc_AMI,train_f1_IMI,val_f1_IMI,test_f1_IMI,test_sensitivity_IMI,test_specificity_IMI,test_auc_IMI,train_f1_Lateral-involved MI,val_f1_Lateral-involved MI,test_f1_Lateral-involved MI,test_sensitivity_Lateral-involved MI,test_specificity_Lateral-involved MI,test_auc_Lateral-involved MI
no_pretrain,1,OK,,0.9933017337159121,0.9928207608377444,0.8935888872572814,0.8954635108481263,0.8941001312803089,0.8954635108481263,0.8933555540720537,0.9888415119680889,0.43088858968603994,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260614_130544/transfer_strategies/no_pretrain/fold_1/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260614_130544/transfer_strategies/no_pretrain/fold_1,362052,362052,1.0,0.9959677419354839,0.9919354838709677,0.8982456140350877,0.9078014184397163,0.9562841530054644,0.992500871991629,0.9922480620155039,1.0,0.8538011695906432,0.7525773195876289,0.9975609756097561,0.9911491073673624,0.9934102141680395,0.9867549668874173,0.8983957219251337,0.9130434782608695,0.9318885448916409,0.9717997038632387,0.9915809167446211,0.9925925925925926,0.9239130434782609,1.0,0.966824644549763,0.9999163646501255
no_pretrain,2,OK,,0.9771205016259455,0.9782478299407054,0.7202156841722941,0.7613412228796844,0.7505111382833952,0.7613412228796844,0.7044084817567604,0.9452638536384573,0.9226442925940604,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260614_130544/transfer_strategies/no_pretrain/fold_2/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260614_130544/transfer_strategies/no_pretrain/fold_2,362052,362052,1.0,0.984984984984985,0.991869918699187,0.9025270758122743,0.8865248226950354,0.9699453551912568,0.9848661008409875,0.9814241486068112,0.9634146341463414,0.8654970760233918,0.7628865979381443,1.0,0.9548654764898163,0.9770114942528736,0.9802631578947368,0.7546296296296297,0.8858695652173914,0.7368421052631579,0.9311482029882892,0.9650613786591123,0.9774436090225563,0.3582089552238806,0.2823529411764706,0.9407582938388626,0.9101756342347366
no_pretrain,3,OK,,0.9848153399063445,0.9907760554130578,0.8484690804995557,0.8579881656804734,0.8559044733688332,0.8579881656804734,0.8528924114110963,0.9675209129168778,0.9163994606312446,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260614_130544/transfer_strategies/no_pretrain/fold_3/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260614_130544/transfer_strategies/no_pretrain/fold_3,362052,362052,1.0,0.9929506545820745,0.9877551020408163,0.9057971014492754,0.8865248226950354,0.9726775956284153,0.9633375964035189,0.9845679012345679,1.0,0.779874213836478,0.6391752577319587,1.0,0.9765401056072416,0.985172981878089,0.9901639344262295,0.8624338624338624,0.8858695652173914,0.9040247678018576,0.9302059496567506,0.9765698219306467,0.9851851851851852,0.845771144278607,1.0,0.9265402843601895,1.0
no_pretrain,4,OK,,0.9804783815125653,0.9938500095065659,0.8919573815454822,0.8915187376725838,0.8901746654498742,0.8915187376725838,0.8885419547574315,0.9769479565469428,0.6222102567847428,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260614_130544/transfer_strategies/no_pretrain/fold_4/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260614_130544/transfer_strategies/no_pretrain/fold_4,362052,362052,1.0,0.9929506545820745,0.9919354838709677,0.8695652173913043,0.851063829787234,0.9590163934426229,0.964073944890129,0.9815384615384616,0.9937888198757764,0.8654970760233918,0.7628865979381443,1.0,0.9971335177269298,0.9801652892561984,0.993421052631579,0.8987012987012987,0.9402173913043478,0.913312693498452,0.9467795127204199,0.9672591206735267,0.9962546816479401,0.9340659340659341,1.0,0.9715639810426541,0.9998048508502927
no_pretrain,5,OK,,0.9867781699282099,0.9937908584466911,0.8332362606429856,0.8422090729783037,0.8422770234843857,0.8422090729783037,0.816932821628036,0.9553109715884871,0.7361260208152455,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260614_130544/transfer_strategies/no_pretrain/fold_5/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260614_130544/transfer_strategies/no_pretrain/fold_5,362052,362052,1.0,0.9929506545820745,0.9959839357429718,0.8937728937728938,0.8652482269503546,0.9726775956284153,0.9758748982676433,0.986046511627907,0.9938650306748467,0.8402366863905325,0.7319587628865979,0.9975609756097561,0.9436761377923059,0.9868421052631579,0.9967213114754099,0.8444444444444444,0.9293478260869565,0.8452012383900929,0.9379627136895948,0.9812734082397003,0.9885931558935361,0.7544910179640718,0.7411764705882353,0.9549763033175356,0.9637301366044048
frozen_backbone,1,OK,,0.6363534837194655,0.7118860010158391,0.5202421777100155,0.5996055226824457,0.5721872468363521,0.5996055226824457,0.5236971542195561,0.780673704941803,0.9476268706472197,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260614_130544/transfer_strategies/frozen_backbone/fold_1/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260614_130544/transfer_strategies/frozen_backbone/fold_1,17284,362052,0.04773899881784937,0.7545023696682465,0.8267716535433071,0.7817589576547231,0.851063829787234,0.8743169398907104,0.9311320389102042,0.6937590711175616,0.7852760736196319,0.6802721088435374,0.5154639175257731,1.0,0.9885089263263767,0.6475037821482602,0.7107438016528925,0.6189376443418014,0.7282608695652174,0.6439628482972136,0.8071241082245256,0.4496487119437939,0.5247524752475248,0.0,0.0,0.9004739336492891,0.3959297463061054
frozen_backbone,2,OK,,0.6162874435599252,0.6424127405791992,0.5369044557320132,0.6193293885601578,0.5911022322221744,0.6193293885601578,0.5442548144933894,0.7822937594438303,0.9386515303476323,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260614_130544/transfer_strategies/frozen_backbone/fold_2/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260614_130544/transfer_strategies/frozen_backbone/fold_2,17284,362052,0.04773899881784937,0.7593283582089553,0.7937743190661478,0.8,0.9078014184397163,0.860655737704918,0.9376816649226835,0.670605612998523,0.7032967032967034,0.7019867549668874,0.5463917525773195,0.9975609756097561,0.9941916017098315,0.6064814814814815,0.6686390532544378,0.6456310679611651,0.7228260869565217,0.7058823529411765,0.8160082110647463,0.42873432155074115,0.4039408866995074,0.0,0.0,0.8909952606635071,0.38129356007805965
frozen_backbone,3,OK,,0.6150654883258639,0.6101713277202874,0.5407547512841131,0.6351084812623274,0.6009495840603291,0.6351084812623274,0.55843921165651,0.7775586358843396,0.9477929641038944,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260614_130544/transfer_strategies/frozen_backbone/fold_3/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260614_130544/transfer_strategies/frozen_backbone/fold_3,17284,362052,0.04773899881784937,0.7474560592044404,0.7777777777777778,0.768361581920904,0.9645390070921985,0.7896174863387978,0.9367902957020502,0.6524822695035462,0.6818181818181818,0.6928104575163399,0.5463917525773195,0.9926829268292683,0.9936384209202916,0.6003236245954693,0.6337209302325582,0.7018469656992085,0.7228260869565217,0.8080495356037152,0.8142078341634137,0.46,0.3473684210526316,0.0,0.0,0.8981042654028436,0.36559799275160304
frozen_backbone,4,OK,,0.6397639123365992,0.666832353205287,0.4865258440760988,0.571992110453649,0.549462855962869,0.571992110453649,0.4872492020879229,0.7736000933368589,1.002204955388338,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260614_130544/transfer_strategies/frozen_backbone/fold_4/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260614_130544/transfer_strategies/frozen_backbone/fold_4,17284,362052,0.04773899881784937,0.7760074976569822,0.7686567164179104,0.7987220447284346,0.8865248226950354,0.8715846994535519,0.933069798085494,0.6833578792341679,0.6986301369863014,0.5190839694656488,0.35051546391752575,1.0,0.98604475735479,0.627906976744186,0.6742209631728046,0.6282973621103117,0.7119565217391305,0.6842105263157895,0.7974491856239062,0.4717832957110609,0.5258215962441315,0.0,0.0,0.8388625592417062,0.37783663228324504
frozen_backbone,5,OK,,0.6441731956846324,0.6545918129173938,0.512272607789779,0.5996055226824457,0.5710277475717953,0.5996055226824457,0.5172629946816458,0.7863309491565302,0.9529068762734092,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260614_130544/transfer_strategies/frozen_backbone/fold_5/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260614_130544/transfer_strategies/frozen_backbone/fold_5,17284,362052,0.04773899881784937,0.7926267281105991,0.7490636704119851,0.8126984126984127,0.9078014184397163,0.8743169398907104,0.9310351509514397,0.695139911634757,0.6746987951807228,0.60431654676259,0.4329896907216495,1.0,0.9904450590897661,0.6403712296983759,0.6971428571428572,0.6320754716981132,0.7282608695652174,0.6718266253869969,0.8077298425090861,0.4485549132947977,0.49746192893401014,0.0,0.0,0.8791469194312796,0.41611374407582935
