,I,aVL,II,III,aVF,aVR,V1,V2,V3,V4,V5,V6
NORM,0.08334371,0.083399564,0.08325597,0.083443485,0.08333177,0.08342995,0.08337945,0.08333962,0.08332148,0.083281614,0.08323436,0.08323905
AMI,2.3782047e-06,2.3790058e-06,2.3787468e-06,2.3810449e-06,2.3797877e-06,2.384091e-06,0.2502561,0.2500238,0.24987075,0.24983029,2.3789078e-06,2.3779555e-06
IMI,6.281153e-07,6.277309e-07,0.3336025,0.33304763,0.33334416,6.2589874e-07,6.2583547e-07,6.2681727e-07,6.2742015e-07,6.277096e-07,6.277213e-07,6.2783624e-07
Lateral-involved,0.23007172,0.23029567,0.012701714,0.012741037,0.012721203,6.4392093e-22,0.012729947,0.012723361,0.012712406,0.004015516,0.2295189,0.22976862
