,Normal,Anterior-involved MI,Inferior-involved MI,Lateral-involved MI
Normal,1887,0,1,144
Anterior-involved MI,145,836,754,0
Inferior-involved MI,267,599,2483,0
Lateral-involved MI,0,0,0,161
