strategy,fold,epoch,train_loss,val_loss,train_main_macro_f1,val_main_macro_f1,train_accuracy,val_accuracy,learning_rate,epoch_time,train_f1_Normal,val_f1_Normal,train_f1_Anterior,val_f1_Anterior,train_f1_Inferior,val_f1_Inferior,train_f1_Lateral,val_f1_Lateral
no_pretrain,3,1,0.5459007359483805,0.24802036690327992,0.5987923171082021,0.8918197776973439,0.7772795900626801,0.9421669106881405,0.0001,6.477610349655151,0.7820762192925582,0.9276470588235294,0.8279776618145198,0.9728377412437456,0.7544640463295619,0.9417943107221006,0.03065134099616858,0.725
no_pretrain,3,2,0.1426691504431135,0.16130072146785032,0.9118384327902003,0.926810700553769,0.9526009973921398,0.9432650073206442,0.0001,6.477590322494507,0.944351737647827,0.9176980198019802,0.9787460148777896,0.9783519553072626,0.9467384142323743,0.9416276097145292,0.7775175644028103,0.8695652173913043
no_pretrain,3,3,0.04649311725077311,0.05494663555660499,0.9822574461522607,0.9801813735931795,0.9863201720272682,0.9807833089311859,0.0001,6.508705377578735,0.9855932816911604,0.9794023788801857,0.9902204836415363,0.9887323943661972,0.984928492849285,0.9769809650287737,0.9682875264270613,0.975609756097561
no_pretrain,3,4,0.033270075524978064,0.015516858677124799,0.9853346683708104,0.9954693361675415,0.990300590199936,0.9965226939970717,0.0001,6.511395454406738,0.9898418226672472,0.9968198901416594,0.9936804628393413,0.9975115535015997,0.9891316280601603,0.9958103638368246,0.9686847599164927,0.9917355371900827
no_pretrain,3,5,0.02284983500201732,0.017988222291881264,0.9932158347804958,0.9944260877054256,0.9935032255112779,0.9952415812591509,0.0001,6.881949186325073,0.9933284989122553,0.9968125181106926,0.9951098070596603,0.9946447697250982,0.9926894959599846,0.9945115257958288,0.9917355371900827,0.9917355371900827
no_pretrain,3,6,0.01993141827972686,0.012901811978493723,0.9952983865254681,0.9977181258596352,0.9942810083726037,0.9968887262079063,0.0001,6.564739227294922,0.9940579710144928,0.9971014492753624,0.9958173889828246,0.9975097829953753,0.9934058687767886,0.9962612711678029,0.9979123173277662,1.0
no_pretrain,3,7,0.017661075348647828,0.012764786040262282,0.9948167435136153,0.9980492014928211,0.9949215354348722,0.9974377745241582,0.0001,6.54954719543457,0.9936204146730463,0.9982618771726536,0.9975972234582184,0.9967914438502674,0.9942863421602022,0.997143484948363,0.9937629937629938,1.0
no_pretrain,3,8,0.01189432391941925,0.012100281851458373,0.9970475200402454,0.9839167790712497,0.9966143569565814,0.9961566617862372,0.0001,6.618298292160034,0.9960130482058717,0.9976825028968713,0.99822032390105,0.9975080099679601,0.9960443907262938,0.9955947136563876,0.9979123173277662,0.9448818897637795
no_pretrain,3,9,0.010459371907711517,0.0100849947770867,0.9969291548478512,0.9978426479771536,0.9972548840188498,0.9970717423133236,0.0001,6.66336989402771,0.9976801507901987,0.996222028480093,0.9971535314001068,0.9982187388671179,0.9970323147944603,0.9969298245614036,0.995850622406639,1.0
no_pretrain,3,10,0.007908352185813015,0.007263047236988494,0.9972572992992853,0.9927449636733325,0.9976666514160223,0.9981698389458272,0.0001,6.599065542221069,0.997753134739436,0.9991306867574616,0.9979531903532971,0.9982187388671179,0.9974722496977689,0.9980206729711898,0.995850622406639,0.975609756097561
no_pretrain,3,11,0.00916997611410142,0.021792885570117656,0.9971300502087326,0.9970055684276857,0.9974836436839456,0.9957906295754027,0.0001,6.28464937210083,0.9975365889001594,0.994522917267224,0.997953554586707,0.9985754985754985,0.9971967240147309,0.9949238578680203,0.9958333333333333,1.0
