model,setting,test_macro_f1,roc_path,pr_path,confusion_path,training_curve_path,source_run
CNN1D,fine-tune,0.7278078076924843,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/7_model_finetune_comparison/20260613_184052/cnn1d/metrics/test_roc_curve.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/7_model_finetune_comparison/20260613_184052/cnn1d/metrics/test_pr_curve.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/7_model_finetune_comparison/20260613_184052/cnn1d/metrics/test_confusion_matrix.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/7_model_finetune_comparison/20260613_184052/cnn1d/metrics/training_curve.png,outputs/7_model_finetune_comparison/20260613_184052
LSTM,pretrain,0.7197642222324138,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/6_model_pretrain_comparison/20260613_182711/lstm/metrics/test_roc_curve.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/6_model_pretrain_comparison/20260613_182711/lstm/metrics/test_pr_curve.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/6_model_pretrain_comparison/20260613_182711/lstm/metrics/test_confusion_matrix.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/6_model_pretrain_comparison/20260613_182711/lstm/metrics/training_curve.png,outputs/6_model_pretrain_comparison/20260613_182711
CNN-LSTM,pretrain,0.7155289103064801,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/6_model_pretrain_comparison/20260613_182711/cnn_lstm/metrics/test_roc_curve.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/6_model_pretrain_comparison/20260613_182711/cnn_lstm/metrics/test_pr_curve.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/6_model_pretrain_comparison/20260613_182711/cnn_lstm/metrics/test_confusion_matrix.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/6_model_pretrain_comparison/20260613_182711/cnn_lstm/metrics/training_curve.png,outputs/6_model_pretrain_comparison/20260613_182711
ALPA-Net no attention,pretrain,0.6850506773737172,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/4_alpanet_pretrain_no_attention/20260614_051239/metrics/test_roc_curve.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/4_alpanet_pretrain_no_attention/20260614_051239/metrics/test_pr_curve.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/4_alpanet_pretrain_no_attention/20260614_051239/metrics/test_confusion_matrix.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/4_alpanet_pretrain_no_attention/20260614_051239/metrics/training_curve.png,outputs/4_alpanet_pretrain_no_attention/20260614_051239
HuBERT-ECG,fine-tune,0.6580905575503194,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/7_model_finetune_comparison/20260613_184052/hubert_ecg/metrics/test_roc_curve.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/7_model_finetune_comparison/20260613_184052/hubert_ecg/metrics/test_pr_curve.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/7_model_finetune_comparison/20260613_184052/hubert_ecg/metrics/test_confusion_matrix.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/7_model_finetune_comparison/20260613_184052/hubert_ecg/metrics/training_curve.png,outputs/7_model_finetune_comparison/20260613_184052
ALPA-Net,pretrain,0.6356412492062734,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/2_alpanet_pretrain/20260612_120303/metrics/test_roc_curve.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/2_alpanet_pretrain/20260612_120303/metrics/test_pr_curve.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/2_alpanet_pretrain/20260612_120303/metrics/test_confusion_matrix.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/2_alpanet_pretrain/20260612_120303/metrics/training_curve.png,outputs/2_alpanet_pretrain/20260612_120303
GRU,fine-tune,0.6304672632447347,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/7_model_finetune_comparison/20260613_184052/gru/metrics/test_roc_curve.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/7_model_finetune_comparison/20260613_184052/gru/metrics/test_pr_curve.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/7_model_finetune_comparison/20260613_184052/gru/metrics/test_confusion_matrix.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/7_model_finetune_comparison/20260613_184052/gru/metrics/training_curve.png,outputs/7_model_finetune_comparison/20260613_184052
CNN-LSTM,fine-tune,0.6224138146616257,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/7_model_finetune_comparison/20260613_184052/cnn_lstm/metrics/test_roc_curve.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/7_model_finetune_comparison/20260613_184052/cnn_lstm/metrics/test_pr_curve.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/7_model_finetune_comparison/20260613_184052/cnn_lstm/metrics/test_confusion_matrix.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/7_model_finetune_comparison/20260613_184052/cnn_lstm/metrics/training_curve.png,outputs/7_model_finetune_comparison/20260613_184052
No-attention ALPA-Net frozen backbone,frozen_backbone,0.6114256380163361,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260614_051723/transfer_strategies/frozen_backbone/fold_3/metrics/test_roc_curve.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260614_051723/transfer_strategies/frozen_backbone/fold_3/metrics/test_pr_curve.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260614_051723/transfer_strategies/frozen_backbone/fold_3/metrics/test_confusion_matrix.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260614_051723/transfer_strategies/frozen_backbone/fold_3/metrics/training_curve.png,outputs/5_alpanet_finetune_no_attention/20260614_051723
ECG-FM,fine-tune,0.1331403762662807,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/7_model_finetune_comparison/20260613_184052/ecg_fm/metrics/test_roc_curve.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/7_model_finetune_comparison/20260613_184052/ecg_fm/metrics/test_pr_curve.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/7_model_finetune_comparison/20260613_184052/ecg_fm/metrics/test_confusion_matrix.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/7_model_finetune_comparison/20260613_184052/ecg_fm/metrics/training_curve.png,outputs/7_model_finetune_comparison/20260613_184052
