split,accuracy,balanced_accuracy,macro_f1,micro_f1,weighted_f1,f1_NORM,sensitivity_NORM,specificity_NORM,auc_NORM,f1_AMI,sensitivity_AMI,specificity_AMI,auc_AMI,f1_IMI,sensitivity_IMI,specificity_IMI,auc_IMI,f1_LMI,sensitivity_LMI,specificity_LMI,auc_LMI,macro_auc,loss
val,0.8035714285714286,0.8215106117353308,0.6335149032223967,0.8035714285714286,0.8328623506615063,0.7295597484276729,0.7733333333333333,0.825503355704698,0.8994183445190156,0.9915966386554622,0.9833333333333333,1.0,0.9998983739837398,0.8129032258064516,0.7078651685393258,0.9777777777777777,0.925759467332501,0.0,0.0,0.9330357142857143,,0.9416920619450854,1.2570231925346889
test,0.87374749498998,0.8794710354441322,0.8751526978308908,0.87374749498998,0.873802314361711,0.8581081081081081,0.9407407407407408,0.9065934065934066,0.9880952380952381,0.8603351955307262,0.7938144329896907,0.9875621890547264,0.9366056316356363,0.8793103448275862,0.8315217391304348,0.9650793650793651,0.9214975845410629,0.9028571428571428,0.9518072289156626,0.96875,0.9932518535681186,0.9598625769600141,0.8524324734749381
