split,accuracy,balanced_accuracy,macro_f1,micro_f1,weighted_f1,f1_NORM,sensitivity_NORM,specificity_NORM,auc_NORM,f1_AMI,sensitivity_AMI,specificity_AMI,auc_AMI,f1_IMI,sensitivity_IMI,specificity_IMI,auc_IMI,f1_LMI,sensitivity_LMI,specificity_LMI,auc_LMI,macro_auc,loss
val,0.39732142857142855,0.3333333333333333,0.1895633652822151,0.39732142857142855,0.22595276129621175,0.0,0.0,1.0,0.6064429530201343,0.0,0.0,1.0,0.8218495934959349,0.5686900958466453,1.0,0.0,0.5015813566375364,0.0,0.0,1.0,,0.6432913010512019,1.5269418443952287
test,0.3687374749498998,0.25,0.13469985358711567,0.3687374749498998,0.19867553555133693,0.0,0.0,1.0,0.6213064713064713,0.0,0.0,1.0,0.7065830640611377,0.5387994143484627,1.0,0.0,0.5194271911663216,0.0,0.0,1.0,0.5095429796107507,0.5892149265361704,1.6198068998141852
