split,accuracy,balanced_accuracy,macro_f1,micro_f1,weighted_f1,f1_Normal,sensitivity_Normal,specificity_Normal,auc_Normal,f1_Anterior,sensitivity_Anterior,specificity_Anterior,auc_Anterior,f1_Inferior,sensitivity_Inferior,specificity_Inferior,auc_Inferior,f1_Lateral,sensitivity_Lateral,specificity_Lateral,auc_Lateral,macro_auc,loss
val,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.006582409543344981
test,0.845691382765531,0.8253769660543664,0.8374465827594211,0.845691382765531,0.8438733283414203,0.87248322147651,0.9629629629629629,0.9093406593406593,0.9862840862840863,0.7333333333333333,0.6804123711340206,0.9577114427860697,0.9689695850643689,0.8655913978494624,0.875,0.9142857142857143,0.9677536231884057,0.8783783783783784,0.7831325301204819,1.0,0.9995366079703429,0.9806359756268009,0.5093908409078518
