split,label,internal_label,f1_score
val,NORM,Normal,0.9800796812749004
val,AMI,Anterior,1.0
val,IMI,Inferior,0.9834983498349835
val,LMI,Lateral,1.0
test,NORM,Normal,0.9018181818181819
test,AMI,Anterior,0.7613636363636364
test,IMI,Inferior,0.7819548872180451
test,LMI,Lateral,0.8783783783783784
