fold,strategy,epoch,train_loss,val_loss,train_macro_f1,val_macro_f1,learning_rate,epoch_time,L_BCE,L_ALPA,L_territory,L_exclusive,L_consistency
2,frozen_backbone,1,1.2421343410518808,1.0886628980367956,0.5191194689998976,0.7782641087725833,0.0005,0.7244842052459717,0.4577040473620097,2.1365877389907837,0.5068535109361013,0.1509405573209127,0.00413532725845774
2,frozen_backbone,2,0.9934246506489498,0.9725188403062417,0.6762285225810825,0.7811861134645944,0.0005,0.7240381240844727,0.3766382932662964,2.1283461252848306,0.4335787793000539,0.07061634212732315,0.0036007456171015897
2,frozen_backbone,3,0.8902209971992063,0.9397001837340879,0.7156590979561622,0.7790216113000924,0.0005,0.715385913848877,0.3457224369049072,2.1151746114095054,0.41199447711308795,0.055801745504140854,0.0013883283051351707
2,frozen_backbone,4,0.8486506510788286,0.9322143952611467,0.7521938012520837,0.7990096323429656,0.0005,0.7238054275512695,0.34062883257865906,2.102663516998291,0.4114386240641276,0.04467344656586647,0.0009034556375506023
2,frozen_backbone,5,0.8104910304848577,0.924850730828836,0.7653078822948229,0.7951346127531472,0.0005,0.7139976024627686,0.33855657776196796,2.0950650771458945,0.4043225844701131,0.042209845036268234,0.0006763103495662411
2,frozen_backbone,6,0.8024754809661651,0.9104391168540632,0.776565894003934,0.7918841887848035,0.0005,0.7096083164215088,0.3308248619238536,2.0865461428960166,0.3951820929845174,0.04207324547072252,0.0006965456511049221
2,frozen_backbone,7,0.7774672676140154,0.9195387548124286,0.7639991798794046,0.7850765733830251,0.0005,0.7193920612335205,0.33052148421605426,2.0813504457473755,0.3926210105419159,0.0414456178744634,0.0010162314380674313
2,frozen_backbone,8,0.77034034359623,0.9296345072732844,0.7798653118433734,0.7921613455988455,0.0005,0.7327916622161865,0.33598437905311584,2.0778059164683023,0.4058869381745656,0.03449095661441485,0.0007572207638683418
2,frozen_backbone,9,0.7587003170604437,0.9172756361289763,0.8040898507162588,0.8032455704586852,0.0005,0.7126295566558838,0.32388337949911755,2.0675397316614785,0.39454034964243573,0.03634782942632834,0.0007311577210202813
2,frozen_backbone,10,0.7358881310677864,0.9297050439136129,0.8015965189849847,0.8066794590643276,0.0005,0.7189781665802002,0.3261832694212596,2.0694111982981362,0.39615453282992047,0.03256222791969776,0.0009337882317292193
2,frozen_backbone,11,0.7338348375239843,0.9277351036877699,0.8106937038907278,0.809787087912088,0.0005,0.7185473442077637,0.3305285374323527,2.069289962450663,0.39680896202723187,0.029281975391010445,0.0010381401516497135
2,frozen_backbone,12,0.7094854166809942,0.9436276168890403,0.8170901159938729,0.7956123737373737,0.00025,0.7115993499755859,0.3388576904932658,2.066436012585958,0.39961721499760944,0.028053593821823597,0.0009232965530827641
2,frozen_backbone,13,0.6852718104778881,0.9364298976642985,0.8299504178795953,0.8024305555555555,0.00025,0.7261178493499756,0.33090420564015705,2.064347585042318,0.3953934113184611,0.026226018865903217,0.0009348960787368318
2,frozen_backbone,14,0.6961344102738609,0.9492876983024705,0.8111273866533334,0.8010574494949495,0.00025,0.7230591773986816,0.3353114724159241,2.064135948816935,0.4026050964991252,0.025954535851875942,0.0009815944164680939
2,frozen_backbone,15,0.6890072688250475,0.931506916670732,0.8304692004057083,0.8088942307692308,0.00025,0.7219212055206299,0.32447831332683563,2.065155108769735,0.39307595292727154,0.02621240292986234,0.0010164163929099839
2,frozen_backbone,16,0.6818916839613042,0.9427532259847077,0.8219580977983008,0.8113743894993896,0.00025,0.717130184173584,0.3296132485071818,2.063664118448893,0.39941702286402386,0.025767965242266655,0.000750608101952821
2,frozen_backbone,17,0.6635042731191071,0.9553406356086194,0.8520160884866768,0.8044745807127882,0.00025,0.7201480865478516,0.3346484651168187,2.0591614643732705,0.40837406118710834,0.025450562747816246,0.0007849797063196698
2,frozen_backbone,18,0.657977669171884,0.9682873982778737,0.8601560758082498,0.8133585164835165,0.000125,0.711878776550293,0.34181717534859973,2.059428016344706,0.4135523239771525,0.024130902563532192,0.0008535492621983091
2,frozen_backbone,19,0.6673566413597322,0.9647016374158187,0.845917120303281,0.8100516381766383,0.000125,0.7312955856323242,0.3380090842644374,2.0554616451263428,0.4089879145224889,0.023963206447660923,0.0008283700832786659
2,frozen_backbone,20,0.6696732136565196,0.9575713881304566,0.8302035249309808,0.8056356837606837,0.000125,0.7365524768829346,0.331192488471667,2.05321995417277,0.40387145678202313,0.024040816041330498,0.0008500015052656332
2,frozen_backbone,21,0.659851223650113,0.9655134132210638,0.834803670015021,0.8028273809523809,0.000125,0.7301032543182373,0.33564042051633197,2.052398443222046,0.40925535559654236,0.023700152523815632,0.0008691006417696675
2,frozen_backbone,22,0.6581713095517225,0.9739016588305084,0.8144369016640607,0.8035175120772946,0.000125,0.7287330627441406,0.3415229618549347,2.0533762772878013,0.4150979419549306,0.02275870492060979,0.0008662614660958449
2,frozen_backbone,23,0.6384074805488049,0.9719548880214423,0.839166481940498,0.8046979795439302,0.000125,0.7329082489013672,0.3399316817522049,2.055211901664734,0.41511518756548565,0.021832105703651905,0.0008525884283396105
2,frozen_backbone,24,0.6445138991718561,0.9664531736306741,0.8290483688355141,0.8008973982785602,6.25e-05,0.7401232719421387,0.3361409952243169,2.054481585820516,0.41269458333651227,0.021074758532146614,0.0008808006629503021
