,I,aVL,II,III,aVF,aVR,V1,V2,V3,V4,V5,V6
NORM,0.08339467,0.0832816,0.0834278,0.083347045,0.08341484,0.083286904,0.083227076,0.08322765,0.08328414,0.08334973,0.083380096,0.083378464
AMI,0.0073399264,0.007348914,0.0073258593,0.007333002,0.007325612,0.0073074778,0.23512924,0.23551029,0.2355084,0.23521557,0.0073246355,0.0073314114
IMI,0.006040097,0.006044905,0.31502375,0.3154676,0.31514078,0.0060430025,0.0060471124,0.0060441126,0.0060411645,0.006036541,0.006033649,0.006037609
LMI,0.23515095,0.23525484,0.007337119,0.0073401155,0.0073402077,0.007351036,0.007358324,0.0073549016,0.0073477225,0.0073428624,0.23552503,0.23529677
