split,label,internal_label,f1_score,sensitivity,specificity,auc,support
val,NORM,Normal,0.9994206257242179,1.0,0.9994650976196844,0.9999982945141498,1725
val,AMI,Anterior,0.9996440014239943,0.999288256227758,1.0,0.9999992986018506,1405
val,IMI,Inferior,0.9993402243237299,0.9991204925241864,0.9996865203761756,0.999997518630946,2274
val,LMI,Lateral,1.0,1.0,1.0,1.0,60
test,NORM,Normal,0.9377340823970037,0.9857283464566929,0.9548141086749286,0.9964456681654069,2032
test,AMI,Anterior,0.6135665327345781,0.7481268011527378,0.7838325514254781,0.8408873501487721,1735
test,IMI,Inferior,0.6820244328097731,0.5834577485816662,0.8912932790224033,0.8198699690882588,3349
test,LMI,Lateral,0.9968847352024922,0.9937888198757764,1.0,1.0,161
