strategy,fold,train_f1_NORM,train_f1_AMI,train_f1_IMI,train_f1_Lateral-involved,val_f1_NORM,val_f1_AMI,val_f1_IMI,val_f1_Lateral-involved,test_f1_NORM,test_f1_AMI,test_f1_IMI,test_f1_Lateral-involved,test_sensitivity_NORM,test_sensitivity_AMI,test_sensitivity_IMI,test_sensitivity_Lateral-involved,test_specificity_NORM,test_specificity_AMI,test_specificity_IMI,test_specificity_Lateral-involved,test_auc_NORM,test_auc_AMI,test_auc_IMI,test_auc_Lateral-involved
no_pretrain,1,0.997979797979798,1.0,0.9950576606260296,0.9962616822429906,0.984251968503937,0.9937888198757764,0.976897689768977,0.9621212121212122,0.8873720136518771,0.779874213836478,0.724373576309795,0.3414634146341463,0.9219858156028368,0.6391752577319587,0.8641304347826086,0.2470588235294117,0.9398907103825136,1.0,0.7027863777089783,0.9597156398104264,0.981765686160524,0.9564998742770934,0.9225669672903488,0.9394758851407864
no_pretrain,2,0.992964824120603,0.9938080495356038,0.9934102141680397,0.9915651358950328,0.9666666666666668,0.9878048780487804,0.946031746031746,0.9655172413793104,0.858085808580858,0.850828729281768,0.7424242424242424,0.5074626865671642,0.9219858156028368,0.7938144329896907,0.7989130434782609,0.4,0.912568306010929,0.9829268292682928,0.7987616099071208,0.9644549763033176,0.9791109560903772,0.975961780236359,0.9266051958540852,0.9609980485085028
no_pretrain,3,0.9879518072289156,0.9937888198757764,0.9851239669421488,0.9850746268656716,0.992,0.9876543209876544,0.98371335504886,0.9655172413793104,0.9003436426116839,0.7513812154696132,0.7024390243902439,0.5151515151515151,0.9290780141843972,0.7010309278350515,0.782608695652174,0.4,0.9480874316939892,0.9609756097560976,0.7461300309597523,0.9691943127962084,0.9719800023253108,0.9639678149358816,0.8546405976578274,0.9287148034569278
no_pretrain,4,0.993975903614458,1.0,0.9950331125827816,0.9925373134328358,0.9959839357429718,0.9813664596273292,0.98371335504886,0.9809885931558936,0.8867313915857605,0.8242424242424242,0.639225181598063,0.0314960629921259,0.9716312056737588,0.7010309278350515,0.717391304347826,0.0235294117647058,0.9153005464480874,1.0,0.6996904024767802,0.90521327014218,0.9629887997519668,0.977244153884838,0.8416173105397765,0.8755784778366322
no_pretrain,5,0.98989898989899,0.989113530326594,0.9885057471264368,0.9878618113912232,0.9959839357429718,0.9938650306748468,0.9934640522875816,0.9847328244274808,0.9485294117647058,0.7951807228915663,0.7453703703703703,0.3472222222222222,0.9148936170212766,0.6804123711340206,0.875,0.2941176470588235,0.994535519125683,0.9926829268292684,0.7306501547987616,0.919431279620853,0.997539045847382,0.924742268041237,0.9181080899178892,0.915444661276833
frozen_backbone,1,0.901296111665005,0.8053097345132744,0.8227642276422764,0.7670961347869177,0.832579185520362,0.8253968253968254,0.7692307692307693,0.6826923076923077,0.75,0.8228571428571428,0.7305122494432071,0.4776119402985074,0.6808510638297872,0.7422680412371134,0.8913043478260869,0.3764705882352941,0.9480874316939892,0.9853658536585366,0.6873065015479877,0.9597156398104264,0.9680463511994728,0.9922806135277848,0.9289440032305828,0.9388068023417896
frozen_backbone,2,0.8891050583657587,0.8505079825834543,0.8261589403973509,0.7823470411233701,0.8828828828828829,0.8333333333333334,0.7804878048780488,0.6091370558375635,0.828125,0.8390804597701149,0.7420042643923241,0.2608695652173913,0.75177304964539,0.7525773195876289,0.9456521739130436,0.1764705882352941,0.9754098360655736,0.9902439024390244,0.6563467492260062,0.9644549763033176,0.9733558113397668,0.9866985164697007,0.9229034863373268,0.94218009478673
frozen_backbone,3,0.8841285296981499,0.8402366863905325,0.8181069958847736,0.7848605577689243,0.912280701754386,0.7628865979381443,0.8171428571428572,0.6634615384615384,0.8145454545454546,0.8421052631578947,0.734966592427617,0.3193277310924369,0.7943262411347518,0.7422680412371134,0.8967391304347826,0.2235294117647059,0.9398907103825136,0.9951219512195122,0.6904024767801857,0.9644549763033176,0.9755454792078442,0.9948956499874276,0.9265547179970386,0.9345413994981878
frozen_backbone,4,0.8933717579250721,0.828696925329429,0.8397328881469115,0.794,0.8927038626609443,0.7956989247311828,0.7768595041322314,0.6262626262626263,0.875,0.8439306358381503,0.7850467289719626,0.416,0.8936170212765957,0.7525773195876289,0.9130434782608696,0.3058823529411765,0.9426229508196722,0.9926829268292684,0.7647058823529411,0.966824644549763,0.9822695035460992,0.992079456877043,0.941731727015749,0.9442709785335934
frozen_backbone,5,0.8857715430861723,0.8150375939849624,0.810064935064935,0.7731256085686465,0.8761061946902655,0.8539325842696629,0.776536312849162,0.7247706422018348,0.7185185185185186,0.8421052631578947,0.7545454545454545,0.4661654135338345,0.6879432624113475,0.7422680412371134,0.9021739130434784,0.3647058823529411,0.912568306010929,0.9951219512195122,0.7213622291021672,0.9597156398104264,0.952234236329109,0.997384963540357,0.9258648539507336,0.9354613883468078
partial_finetune,1,0.9929506545820744,0.9938080495356038,0.989282769991756,0.9868913857677902,0.976,0.9700598802395208,0.970684039087948,0.9534883720930232,0.8482490272373541,0.7142857142857143,0.6862302483069977,0.3728813559322034,0.7730496453900709,0.7216494845360825,0.8260869565217391,0.2588235294117647,0.9808743169398908,0.9292682926829268,0.6687306501547987,0.9739336492890996,0.9880440258884626,0.9579331154136284,0.9034863373266926,0.956872037914692
partial_finetune,2,0.982982982982983,0.9876160990712074,0.9760923330585326,0.981203007518797,0.97119341563786,0.9580838323353292,0.9216300940438872,0.9163346613545816,0.84375,0.7391304347826086,0.6916299559471366,0.3166666666666666,0.7659574468085106,0.7010309278350515,0.8532608695652174,0.2235294117647059,0.9808743169398908,0.9536585365853658,0.6501547987616099,0.962085308056872,0.9920358097895594,0.9380437515715364,0.9183604792031228,0.95137998327293
