strategy,fold,status,error,train_main_macro_f1,val_main_macro_f1,test_main_macro_f1,test_main_micro_f1,test_main_weighted_f1,test_accuracy,test_balanced_accuracy,test_macro_auc,test_loss,checkpoint_path,output_dir,trainable_params,total_params,trainable_ratio,train_f1_NORM,val_f1_NORM,test_f1_NORM,test_sensitivity_NORM,test_specificity_NORM,test_auc_NORM,train_f1_AMI,val_f1_AMI,test_f1_AMI,test_sensitivity_AMI,test_specificity_AMI,test_auc_AMI,train_f1_IMI,val_f1_IMI,test_f1_IMI,test_sensitivity_IMI,test_specificity_IMI,test_auc_IMI,train_f1_Lateral-involved,val_f1_Lateral-involved,test_f1_Lateral-involved,test_sensitivity_Lateral-involved,test_specificity_Lateral-involved,test_auc_Lateral-involved
no_pretrain,1,OK,,0.9973247852122046,0.9792649225674757,0.6832708046080741,0.7337278106508875,0.7161269841261494,0.7337278106508875,0.668087582911704,0.9500771032171881,0.8031325348500434,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/no_pretrain/fold_1/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/no_pretrain/fold_1,513493,513493,1.0,0.997979797979798,0.984251968503937,0.8873720136518771,0.9219858156028369,0.9398907103825137,0.981765686160524,1.0,0.9937888198757764,0.779874213836478,0.6391752577319587,1.0,0.9564998742770934,0.9950576606260296,0.976897689768977,0.724373576309795,0.8641304347826086,0.7027863777089783,0.9225669672903487,0.9962616822429906,0.9621212121212122,0.34146341463414637,0.24705882352941178,0.9597156398104265,0.9394758851407863
no_pretrain,2,OK,,0.9929370559298198,0.9665051330316259,0.7397003667135083,0.7652859960552268,0.7559386089043432,0.7652859960552268,0.7286783230176971,0.9606689951723311,0.5970045797218232,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/no_pretrain/fold_2/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/no_pretrain/fold_2,513493,513493,1.0,0.992964824120603,0.9666666666666667,0.858085808580858,0.9219858156028369,0.912568306010929,0.9791109560903771,0.9938080495356038,0.9878048780487805,0.850828729281768,0.7938144329896907,0.9829268292682927,0.975961780236359,0.9934102141680395,0.946031746031746,0.7424242424242424,0.7989130434782609,0.7987616099071208,0.9266051958540853,0.9915651358950328,0.9655172413793104,0.5074626865671642,0.4,0.9644549763033176,0.9609980485085029
no_pretrain,3,OK,,0.9879848052281281,0.9822212293539562,0.717328849405764,0.7435897435897436,0.7354419936577586,0.7435897435897436,0.7031794094179056,0.9298258045939869,1.1251684697657176,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/no_pretrain/fold_3/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/no_pretrain/fold_3,513493,513493,1.0,0.9879518072289156,0.992,0.9003436426116839,0.9290780141843972,0.9480874316939891,0.9719800023253109,0.9937888198757764,0.9876543209876543,0.7513812154696132,0.7010309278350515,0.9609756097560975,0.9639678149358815,0.9851239669421488,0.9837133550488599,0.7024390243902439,0.782608695652174,0.7461300309597523,0.8546405976578274,0.9850746268656716,0.9655172413793104,0.5151515151515151,0.4,0.9691943127962085,0.9287148034569278
no_pretrain,4,OK,,0.9953865824075188,0.9855130858937635,0.5954237651045934,0.6686390532544378,0.6415685209733367,0.6686390532544378,0.6033957124053355,0.9143571855033032,1.4343074444953272,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/no_pretrain/fold_4/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/no_pretrain/fold_4,513493,513493,1.0,0.9939759036144579,0.9959839357429718,0.8867313915857605,0.9716312056737588,0.9153005464480874,0.9629887997519668,1.0,0.9813664596273292,0.8242424242424242,0.7010309278350515,1.0,0.9772441538848379,0.9950331125827815,0.9837133550488599,0.639225181598063,0.717391304347826,0.6996904024767802,0.8416173105397765,0.9925373134328358,0.9809885931558935,0.031496062992125984,0.023529411764705882,0.9052132701421801,0.8755784778366322
no_pretrain,5,OK,,0.988845019685811,0.9920114607832202,0.7090756818122161,0.7514792899408284,0.7446493377048177,0.7514792899408284,0.6911059088035302,0.9389585162708354,0.9833020947623771,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/no_pretrain/fold_5/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/no_pretrain/fold_5,513493,513493,1.0,0.98989898989899,0.9959839357429718,0.9485294117647058,0.9148936170212766,0.994535519125683,0.9975390458473821,0.9891135303265941,0.9938650306748467,0.7951807228915663,0.6804123711340206,0.9926829268292683,0.924742268041237,0.9885057471264368,0.9934640522875817,0.7453703703703703,0.875,0.7306501547987616,0.9181080899178893,0.9878618113912232,0.9847328244274809,0.3472222222222222,0.29411764705882354,0.919431279620853,0.915444661276833
frozen_backbone,1,OK,,0.8241165521518684,0.7774747719600661,0.6952453331497144,0.717948717948718,0.7112000230376058,0.717948717948718,0.6727235102820704,0.9570194425749075,0.5519956054066765,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/frozen_backbone/fold_1/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/frozen_backbone/fold_1,33924,513493,0.06606516544529331,0.901296111665005,0.832579185520362,0.75,0.6808510638297872,0.9480874316939891,0.9680463511994729,0.8053097345132744,0.8253968253968254,0.8228571428571428,0.7422680412371134,0.9853658536585366,0.9922806135277847,0.8227642276422764,0.7692307692307693,0.7305122494432071,0.8913043478260869,0.6873065015479877,0.9289440032305828,0.7670961347869177,0.6826923076923077,0.47761194029850745,0.3764705882352941,0.9597156398104265,0.9388068023417897
frozen_backbone,2,OK,,0.8370297556174835,0.7764602692329572,0.6675198223449575,0.7258382642998028,0.7038641563892841,0.7258382642998028,0.6566182828453391,0.9562844772333811,0.5647094654143444,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/frozen_backbone/fold_2/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/frozen_backbone/fold_2,33924,513493,0.06606516544529331,0.8891050583657587,0.8828828828828829,0.828125,0.75177304964539,0.9754098360655737,0.9733558113397667,0.8505079825834543,0.8333333333333334,0.8390804597701149,0.7525773195876289,0.9902439024390244,0.9866985164697007,0.8261589403973509,0.7804878048780488,0.7420042643923241,0.9456521739130435,0.6563467492260062,0.9229034863373267,0.7823470411233701,0.6091370558375635,0.2608695652173913,0.17647058823529413,0.9644549763033176,0.9421800947867299
frozen_backbone,3,OK,,0.8318331924355951,0.7889429238242314,0.6777362603058508,0.7258382642998028,0.7079128792243857,0.7258382642998028,0.6642157061428384,0.9578843116726246,0.5470403310580131,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/frozen_backbone/fold_3/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/frozen_backbone/fold_3,33924,513493,0.06606516544529331,0.8841285296981499,0.9122807017543859,0.8145454545454546,0.7943262411347518,0.9398907103825137,0.9755454792078442,0.8402366863905325,0.7628865979381443,0.8421052631578947,0.7422680412371134,0.9951219512195122,0.9948956499874277,0.8181069958847736,0.8171428571428572,0.734966592427617,0.8967391304347826,0.6904024767801857,0.9265547179970386,0.7848605577689243,0.6634615384615384,0.31932773109243695,0.2235294117647059,0.9644549763033176,0.9345413994981878
frozen_backbone,4,OK,,0.8389503928503531,0.7728812294467462,0.7299943412025283,0.7751479289940828,0.7594573368977154,0.7751479289940828,0.7162800430165677,0.9650879164931212,0.5097140164300065,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/frozen_backbone/fold_4/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/frozen_backbone/fold_4,33924,513493,0.06606516544529331,0.8933717579250721,0.8927038626609443,0.875,0.8936170212765957,0.9426229508196722,0.9822695035460993,0.828696925329429,0.7956989247311828,0.8439306358381503,0.7525773195876289,0.9926829268292683,0.992079456877043,0.8397328881469115,0.7768595041322314,0.7850467289719626,0.9130434782608695,0.7647058823529411,0.941731727015749,0.794,0.6262626262626263,0.416,0.3058823529411765,0.966824644549763,0.9442709785335934
frozen_backbone,5,OK,,0.8209999201761791,0.8078364335027314,0.6953336624389256,0.7218934911242604,0.7129304643474684,0.7218934911242604,0.6742727747612202,0.9527363605417518,0.5533292576876383,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/frozen_backbone/fold_5/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/frozen_backbone/fold_5,33924,513493,0.06606516544529331,0.8857715430861723,0.8761061946902655,0.7185185185185186,0.6879432624113475,0.912568306010929,0.952234236329109,0.8150375939849624,0.8539325842696629,0.8421052631578947,0.7422680412371134,0.9951219512195122,0.997384963540357,0.810064935064935,0.776536312849162,0.7545454545454545,0.9021739130434783,0.7213622291021672,0.9258648539507336,0.7731256085686465,0.7247706422018348,0.46616541353383456,0.36470588235294116,0.9597156398104265,0.9354613883468078
