split,label,internal_label,f1_score,sensitivity,specificity,auc,support
val,NORM,Normal,1.0,1.0,1.0,1.0,125
val,AMI,Anterior,0.9937888198757764,0.9876543209876543,1.0,1.0,81
val,IMI,Inferior,0.9967213114754099,1.0,0.9957805907172996,0.9999167221852099,152
val,LMI,Lateral,1.0,1.0,1.0,1.0,31
test,NORM,Normal,0.7479224376731302,1.0,0.75,0.9945461945461946,135
test,AMI,Anterior,0.7784431137724551,0.6701030927835051,0.9875621890547264,0.9581217623224085,97
test,IMI,Inferior,0.8530259365994236,0.8043478260869565,0.9523809523809523,0.961024844720497,184
test,LMI,Lateral,0.6504065040650406,0.4819277108433735,1.0,0.9999420759962929,83
