split,label,internal_label,f1_score,sensitivity,specificity,auc,support
val,NORM,Normal,0.999129677980853,0.9982608695652174,1.0,0.9999144156191495,1725
val,AMI,Anterior,0.9985744832501782,0.9971530249110321,1.0,0.9999875501828457,1405
val,IMI,Inferior,0.9984632272228321,1.0,0.9978056426332288,0.9998765518895626,2274
val,LMI,Lateral,1.0,1.0,1.0,1.0,60
test,NORM,Normal,0.8753367621846682,0.8794291338582677,0.9496663489037178,0.9803335385031112,2032
test,AMI,Anterior,0.4497389033942559,0.39711815561959657,0.8845182244677012,0.851001885522866,1735
test,IMI,Inferior,0.7419536984754376,0.7847118542848611,0.7181771894093686,0.8486031639076382,3349
test,LMI,Lateral,0.9969040247678018,1.0,0.9998594716132658,1.0,161
