,I,aVL,II,III,aVF,aVR,V1,V2,V3,V4,V5,V6
NORM,0.08333449,0.083289854,0.08338257,0.08336218,0.08337905,0.0833677,0.08329771,0.083308116,0.08331571,0.08330594,0.08331444,0.08334285
AMI,0.007329993,0.007325807,0.007323813,0.007324879,0.007322875,0.007314913,0.23523602,0.23555306,0.23542172,0.23519926,0.007320118,0.0073238513
IMI,0.0060348483,0.00603575,0.3150499,0.3153991,0.3151962,0.0060489294,0.0060483054,0.0060449056,0.0060415007,0.0060361177,0.006029714,0.0060330466
LMI,0.23516929,0.23541108,0.0073352186,0.0073414813,0.0073395614,0.0073454627,0.0073583806,0.0073513146,0.0073498334,0.007347082,0.23545487,0.23519413
