split,label,internal_label,f1_score,sensitivity,specificity,auc,support
val,NORM,Normal,1.0,1.0,1.0,1.0,125
val,AMI,Anterior,1.0,1.0,1.0,1.0,81
val,IMI,Inferior,1.0,1.0,1.0,1.0,152
val,LMI,Lateral,1.0,1.0,1.0,1.0,31
test,NORM,Normal,0.9259259259259259,0.9259259259259259,0.9725274725274725,0.9893772893772893,135
test,AMI,Anterior,0.7668393782383419,0.7628865979381443,0.945273631840796,0.9579422475252604,97
test,IMI,Inferior,0.8238482384823849,0.8260869565217391,0.8952380952380953,0.9457556935817806,184
test,LMI,Lateral,1.0,1.0,1.0,1.0,83
