split,label,internal_label,f1_score,sensitivity,specificity,auc,support
val,NORM,Normal,0.9985519837822183,0.9994202898550725,0.9989301952393688,0.9999897670848984,1725
val,AMI,Anterior,0.9992877492877493,0.998576512455516,1.0,0.9999968437083271,1405
val,IMI,Inferior,0.9984605234220365,0.9982409850483729,0.9990595611285267,0.9999807004629132,2274
val,LMI,Lateral,1.0,1.0,1.0,1.0,60
test,NORM,Normal,0.8845598845598845,0.90501968503937,0.9452812202097235,0.9724438066249822,2032
test,AMI,Anterior,0.6084815321477428,0.6409221902017291,0.8542042583904728,0.8459708778757344,1735
test,IMI,Inferior,0.6974632007516443,0.6649746192893401,0.7937881873727087,0.8222678259431183,3349
test,LMI,Lateral,0.7661971830985915,0.84472049689441,0.991849353569421,0.9972610057293685,161
