split,accuracy,balanced_accuracy,macro_f1,micro_f1,weighted_f1,f1_Normal,sensitivity_Normal,specificity_Normal,auc_Normal,f1_Anterior,sensitivity_Anterior,specificity_Anterior,auc_Anterior,f1_Inferior,sensitivity_Inferior,specificity_Inferior,auc_Inferior,f1_Lateral,sensitivity_Lateral,specificity_Lateral,auc_Lateral,macro_auc,loss
val,0.998718887262079,0.9990594468397404,0.9990750641230011,0.998718887262079,0.998719013549657,0.9985519837822183,0.9994202898550725,0.9989301952393688,0.9999897670848984,0.9992877492877493,0.998576512455516,1.0,0.9999968437083271,0.9984605234220365,0.9982409850483729,0.9990595611285267,0.9999807004629132,1.0,1.0,1.0,1.0,0.9999918278140347,0.008584601157407716
test,0.7302459804864642,0.7639092478562124,0.7391754501394657,0.7302459804864642,0.7300128005356807,0.8845598845598845,0.90501968503937,0.9452812202097235,0.9724438066249822,0.6084815321477428,0.6409221902017291,0.8542042583904728,0.8459708778757344,0.6974632007516443,0.6649746192893401,0.7937881873727087,0.8222678259431183,0.7661971830985915,0.84472049689441,0.991849353569421,0.9972610057293685,0.9094858790433009,2.0113535457757044
