strategy,fold,train_f1_NORM,train_f1_AMI,train_f1_IMI,train_f1_LMI,val_f1_NORM,val_f1_AMI,val_f1_IMI,val_f1_LMI,test_f1_NORM,test_f1_AMI,test_f1_IMI,test_f1_LMI,test_sensitivity_NORM,test_sensitivity_AMI,test_sensitivity_IMI,test_sensitivity_LMI,test_specificity_NORM,test_specificity_AMI,test_specificity_IMI,test_specificity_LMI,test_auc_NORM,test_auc_AMI,test_auc_IMI,test_auc_LMI
no_pretrain,1,1.0,0.9999110241124656,0.9999450277609808,1.0,0.9997100608872136,1.0,0.9997801714662564,1.0,0.8299681190223167,0.5946360153256705,0.6784260515603799,0.6446280991735537,0.7687007874015748,0.6708933717579251,0.6718423409973127,0.484472049689441,0.9675881792183032,0.8166726813424756,0.7367617107942973,0.9995784148397976,0.9403018810565744,0.8544337347392768,0.7822985658849435,0.9970881819990992
no_pretrain,2,1.0,1.0,1.0,1.0,0.9997100608872136,0.998218738867118,0.998681898066784,1.0,0.8181386514719848,0.5059139784946236,0.646119089882201,0.7294117647058823,0.8479330708661418,0.5423631123919308,0.5977903851896088,0.9627329192546584,0.9128693994280268,0.8116203536629376,0.7846232179226069,0.9846824058459808,0.969668572618842,0.7895127800594257,0.7376478083557179,0.9968839357724174
no_pretrain,3,1.0,1.0,1.0,1.0,0.9997102289191538,1.0,0.9997800747745766,1.0,0.9035045607297169,0.5786458333333333,0.7384464110127827,0.695067264573991,0.9261811023622047,0.6403458213256484,0.6727381307853091,0.9627329192546584,0.9519542421353672,0.8206423673763984,0.8727087576374746,0.9817313097245643,0.9879519208394943,0.7943052113439212,0.823847088744003,0.9953987863933608
no_pretrain,4,1.0,1.0,1.0,1.0,0.9988399071925754,0.9992877492877492,0.998681898066784,1.0,0.8605492867787949,0.6872870249017038,0.7280993180625983,0.9907120743034056,0.9945866141732284,0.7556195965417868,0.6216781128695132,0.9937888198757764,0.8772163965681602,0.8612414290869722,0.9266802443991852,0.9997189432265318,0.981531482927122,0.8534227492025788,0.9136223066252566,0.9999764331276906
no_pretrain,5,0.9999275309805058,1.0,0.9999450338042104,1.0,1.0,0.9989312433202708,0.9993405143987688,1.0,0.8921806702282662,0.5960973001871157,0.7415801070192005,0.93841642228739,0.904035433070866,0.6426512968299711,0.703493580173186,0.9937888198757764,0.9525262154432792,0.8392277156261277,0.834775967413442,0.9971894322653176,0.9804734355178912,0.7801777258701433,0.820557585052899,0.9999214437589684
frozen_backbone,1,0.9908774978279756,0.995635521510644,0.991756429984612,0.989517819706499,0.9971031286210892,0.999288256227758,0.9980215431963068,0.9915966386554622,0.9385113268608414,0.5979711692471971,0.7263681592039801,0.7091633466135459,0.999015748031496,0.6455331412103746,0.6757240967452971,0.5527950310559007,0.9496663489037178,0.8392277156261277,0.8424134419551935,0.9998594716132658,0.985045609616958,0.835396921803321,0.7662082534896578,0.9983756315048932
frozen_backbone,2,0.9892908827785818,0.9944830040932552,0.990536971830986,0.9916666666666668,0.996523754345307,0.998217468805704,0.9969244288224955,0.9915966386554622,0.927575965273018,0.5822925339994449,0.7252053063802906,0.6611570247933884,0.999015748031496,0.6046109510086455,0.6855777844132577,0.4968944099378882,0.9399428026692088,0.8522194153735113,0.8251018329938901,0.9998594716132658,0.9839616657784316,0.8508687653205234,0.7885178586306275,0.9996290399729068
frozen_backbone,3,0.991099211230914,0.9955476402493322,0.9921363761341764,0.9916666666666668,0.9991301826616412,0.9975026757046022,0.9978050921861282,1.0,0.93790546802595,0.5858310626702997,0.7257224064424443,0.6212765957446809,0.9960629921259844,0.6195965417867435,0.6861749776052553,0.453416149068323,0.9504289799809342,0.8448213641284735,0.825356415478615,0.9998594716132658,0.985034772524264,0.8357293063085456,0.7651451492648503,0.9990870019097896
frozen_backbone,4,0.990589257275228,0.9934105075690116,0.9902154793315744,0.99163179916318,0.995937318630296,0.997153024911032,0.9958269273006808,0.9915966386554622,0.935483870967742,0.5860724233983287,0.7334167709637046,0.603448275862069,0.999015748031496,0.6063400576368876,0.6999104210212004,0.4347826086956521,0.9469971401334604,0.8551064597618189,0.8220468431771895,0.9998594716132658,0.98303244372218,0.8401128609715488,0.7716106625742919,0.998386105670364
frozen_backbone,5,0.9929016369694336,0.996618615411995,0.9936228697086312,0.9875,0.9982618771726536,0.998217468805704,0.998022412656559,1.0,0.9276556776556776,0.6342112263899974,0.7411593734861941,0.6239316239316239,0.9970472440944882,0.6870317002881844,0.6852791878172588,0.453416149068323,0.9408960915157292,0.8498736918080115,0.8602342158859471,1.0,0.9862623664832648,0.8519082989006143,0.7805899593701863,0.998779759722644
partial_finetune,1,0.999855114459577,0.9999110399430656,0.9998350470116016,1.0,0.9997100608872136,1.0,0.9997801714662564,1.0,0.930618044044518,0.458131067961165,0.7013805522208884,0.862533692722372,0.967027559055118,0.4351585014409221,0.6978202448492087,0.9937888198757764,0.9569113441372736,0.8545651389390112,0.7510183299389002,0.992973580663294,0.995920233368112,0.8129379836657351,0.8323355027703803,0.9991917435644982
partial_finetune,2,0.9997101869294304,1.0,0.99978009895547,1.0,0.9982598607888632,0.9982200071199716,0.998461876510657,1.0,0.8997506234413966,0.4277456647398844,0.6909501623605817,0.9106628242074928,0.8877952755905512,0.3838616714697406,0.7306658704090774,0.9813664596273292,0.9668255481410868,0.8713460844460483,0.6723523421588594,0.9960652051714446,0.9901959027345127,0.804807303307101,0.8136429985787775,0.9997503657229444
