,I,aVL,II,III,aVF,aVR,V1,V2,V3,V4,V5,V6
NORM,0.08335949,0.08334535,0.08336125,0.08331233,0.08332893,0.08327924,0.08326071,0.083241954,0.083258845,0.083344154,0.08345144,0.083456315
AMI,0.0073354254,0.0073396554,0.007326098,0.0073348377,0.007329031,0.007321877,0.23530918,0.23532608,0.23541662,0.23530637,0.007327709,0.007327211
IMI,0.0060375207,0.0060328445,0.31539342,0.31504032,0.315252,0.0060453755,0.00602921,0.0060271127,0.0060297754,0.006035171,0.006038636,0.006038843
Lateral-involved,0.14668995,0.14668833,0.061576262,0.061583016,0.06158808,1.0037672e-07,0.06167182,0.061663114,0.06163438,0.04360081,0.14666802,0.14663614
