,I,aVL,II,III,aVF,aVR,V1,V2,V3,V4,V5,V6
NORM,0.08333225,0.083288066,0.083392434,0.08340178,0.08340945,0.083360404,0.08327377,0.08327469,0.083276704,0.08329482,0.08333021,0.08336297
AMI,0.0073424964,0.007339025,0.0073344554,0.0073310505,0.007331587,0.0073202197,0.23515949,0.23543733,0.2353839,0.23534447,0.0073352973,0.0073395194
IMI,0.006034742,0.006034604,0.31509396,0.31533983,0.3152406,0.006043406,0.006039488,0.0060379053,0.006036512,0.0060351794,0.006032911,0.0060332036
LMI,0.23527962,0.23543756,0.0073356605,0.0073400727,0.0073375856,0.007346973,0.007365477,0.0073626144,0.007358903,0.007349549,0.23532677,0.23516083
