split,label,internal_label,f1_score,sensitivity,specificity,auc,support
val,NORM,Normal,0.9988412514484357,0.9994202898550725,0.9991976464295266,0.9999739525797412,1725
val,AMI,Anterior,0.9996440014239943,0.999288256227758,1.0,0.9999996493009253,1405
val,IMI,Inferior,0.9989003738728832,0.9986807387862797,0.9993730407523511,0.9999751863094598,2274
val,LMI,Lateral,1.0,1.0,1.0,1.0,60
test,NORM,Normal,0.8137609932747025,0.7741141732283464,0.9502383222116301,0.9574773124760738,2032
test,AMI,Anterior,0.6274834437086093,0.6553314121037463,0.8643089137495489,0.8593983382854742,1735
test,IMI,Inferior,0.696,0.7014034040011944,0.7321792260692465,0.807748604471408,3349
test,LMI,Lateral,0.9235668789808917,0.9006211180124224,0.9988757729061271,0.9996046002534748,161
