strategy,fold,status,error,train_main_macro_f1,val_main_macro_f1,test_main_macro_f1,test_main_micro_f1,test_main_weighted_f1,test_accuracy,test_loss,checkpoint_path,output_dir,trainable_params,total_params,trainable_ratio,test_f1_Normal,test_f1_Anterior,test_f1_Inferior,test_f1_Lateral
no_pretrain,1,OK,,1.0,1.0,0.6784214645764218,0.6776144015390958,0.6805197232094966,0.6776144015390958,3.944139116894892,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/finetune_alpanet_transfer_cv/20260610_211849/no_pretrain/fold_1/checkpoints/best_main_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/finetune_alpanet_transfer_cv/20260610_211849/no_pretrain/fold_1,513493,513493,1.0,0.8519607843137255,0.4996005326231691,0.6696514230892229,0.6924731182795699
no_pretrain,2,OK,,1.0,0.9994737658016286,0.7109333556730133,0.7375292015940634,0.7313283959395375,0.7375292015940634,2.6766259517099615,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/finetune_alpanet_transfer_cv/20260610_211849/no_pretrain/fold_2/checkpoints/best_main_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/finetune_alpanet_transfer_cv/20260610_211849/no_pretrain/fold_2,513493,513493,1.0,0.8713922881551605,0.5274447949526814,0.7539092151206923,0.6909871244635193
