,I,aVL,II,III,aVF,aVR,V1,V2,V3,V4,V5,V6
NORM,0.0833596,0.08329111,0.083408356,0.083375655,0.08340805,0.08335345,0.08326672,0.08324202,0.083249494,0.08330337,0.08336315,0.083378986
AMI,0.0073404447,0.0073474995,0.0073248916,0.007329629,0.007323304,0.007308326,0.23523594,0.23552664,0.23546672,0.23514026,0.0073238895,0.00733245
IMI,0.0060403333,0.006043071,0.31508943,0.315378,0.31516775,0.006045831,0.0060445466,0.0060415603,0.006039664,0.006036912,0.006034944,0.0060377144
LMI,0.23523849,0.23526861,0.0073396554,0.007339235,0.0073419022,0.0073502455,0.0073580737,0.0073590414,0.007355359,0.0073470236,0.23548673,0.23521575
