split,label,internal_label,f1_score
val,NORM,Normal,0.9122807017543859
val,AMI,Anterior,0.7628865979381443
val,IMI,Inferior,0.8171428571428572
val,Lateral-involved,Lateral,0.6634615384615384
test,NORM,Normal,0.8145454545454546
test,AMI,Anterior,0.8421052631578947
test,IMI,Inferior,0.734966592427617
test,Lateral-involved,Lateral,0.31932773109243695
