split,label,internal_label,f1_score,sensitivity,specificity,auc,support
val,NORM,Normal,0.9982618771726536,0.9982618771726536,0.9991974317817014,0.9998535289752236,1726
val,AMI,Anterior,0.9982174688057041,0.99644128113879,1.0,0.9999601956550138,1405
val,IMI,Inferior,0.998022412656559,0.9991201055873296,0.9978063303039799,0.9998351059671648,2273
val,LMI,Lateral,1.0,1.0,1.0,1.0,60
test,NORM,Normal,0.9276556776556777,0.9970472440944882,0.9408960915157293,0.9862623664832649,2032
test,AMI,Anterior,0.6342112263899974,0.6870317002881844,0.8498736918080115,0.8519082989006143,1735
test,IMI,Inferior,0.7411593734861941,0.6852791878172588,0.8602342158859471,0.7805899593701863,3349
test,LMI,Lateral,0.6239316239316239,0.453416149068323,1.0,0.9987797597226441,161
