strategy,fold,epoch,train_loss,val_loss,train_main_macro_f1,val_main_macro_f1,train_accuracy,val_accuracy,train_balanced_accuracy,val_balanced_accuracy,learning_rate,epoch_time,train_f1_Normal,val_f1_Normal,train_f1_Anterior,val_f1_Anterior,train_f1_Inferior,val_f1_Inferior,train_f1_Lateral,val_f1_Lateral
full_finetune,4,1,0.8421912558646545,0.6690287521907261,0.6728019159056129,0.7106373745582563,0.674655787863335,0.7081632653061225,0.6815521308204371,0.7105902263124957,0.0001,1.2237021923065186,0.7802607076350093,0.8034188034188035,0.6745562130177515,0.7950310559006211,0.6655405405405406,0.6958762886597938,0.5708502024291497,0.5482233502538071
full_finetune,4,2,0.5289728891813044,0.45205651010785786,0.8004084433145285,0.8245788296401064,0.7980622131565528,0.8204081632653061,0.8077793766519963,0.8257556787727981,0.0001,1.3074030876159668,0.8518518518518519,0.8487084870848709,0.8284883720930233,0.8875,0.7854251012145749,0.8109756097560976,0.7358684480986639,0.751131221719457
full_finetune,4,3,0.3919364882482065,0.3702679070891166,0.8629206734878165,0.8629204630710655,0.8607853136155023,0.8571428571428571,0.8661873705885224,0.8674628626524495,0.0001,1.31911039352417,0.9002961500493584,0.8769230769230769,0.8778280542986425,0.9404761904761905,0.8524046434494196,0.8433734939759037,0.8211538461538461,0.7909090909090909
full_finetune,4,4,0.3328452039698081,0.26031634783258245,0.8850712962113145,0.9244865269832677,0.8827129015808262,0.9204081632653062,0.8884700370689268,0.9213965132364963,0.0001,1.2665045261383057,0.9186507936507936,0.9243697478991597,0.9009009009009009,0.9570552147239264,0.8707818930041152,0.9096385542168675,0.8499515972894482,0.9068825910931174
full_finetune,4,5,0.2579634967870338,0.23244354773540887,0.9088445736539752,0.9246213811983282,0.9071902090770015,0.9204081632653062,0.910727853194344,0.9248255981950095,0.0001,1.255378007888794,0.9224652087475149,0.9344262295081968,0.9193302891933028,0.963855421686747,0.8976897689768977,0.9113149847094801,0.8958930276981852,0.8888888888888888
full_finetune,4,6,0.19804662852445953,0.18615763388117965,0.9339161199793191,0.94044985837216,0.9316675165731769,0.9387755102040817,0.9335782005203904,0.9431239388794567,0.0001,1.2541062831878662,0.9394240317775571,0.9435483870967742,0.9486780715396579,0.9642857142857143,0.9186524239934265,0.9433962264150944,0.9289099526066351,0.9105691056910569
full_finetune,4,7,0.197264267383395,0.1941432682835326,0.9354777800574802,0.9410680923934904,0.9337072921978582,0.9387755102040817,0.9354450476349708,0.9449808998302207,0.0001,1.2128510475158691,0.9463220675944334,0.9420849420849421,0.9472049689440993,0.9700598802395209,0.9257425742574258,0.9415584415584416,0.9226415094339623,0.9105691056910569
full_finetune,4,8,0.17627386289065983,0.16208636681644284,0.9398861297811298,0.9516437388430091,0.9372768995410505,0.9469387755102041,0.9413325891836977,0.9507791656560757,0.0001,1.2043046951293945,0.9243027888446215,0.9365079365079365,0.9648854961832061,1.0,0.9333333333333333,0.9463722397476341,0.9370229007633588,0.9236947791164659
full_finetune,4,9,0.14640313527494106,0.17240188225191466,0.9497985287484327,0.9468402795361321,0.9484956654767975,0.9408163265306122,0.9494020388753119,0.9444958161532865,0.0001,1.220475673675537,0.9539078156312625,0.9387755102040817,0.9596273291925466,1.0,0.9450369155045119,0.9292307692307692,0.94062205466541,0.9193548387096774
full_finetune,4,10,0.138454168563835,0.10397886615626666,0.9554209486932875,0.9719131780799247,0.9546149923508415,0.9693877551020408,0.9553306161478757,0.9716301843317973,0.0001,1.2237908840179443,0.9629629629629629,0.9758064516129032,0.9612403100775194,0.9938650306748467,0.9538714991762768,0.9648562300319489,0.943609022556391,0.953125
