strategy,fold,train_f1_NORM,train_f1_AMI,train_f1_IMI,train_f1_Lateral-involved MI,val_f1_NORM,val_f1_AMI,val_f1_IMI,val_f1_Lateral-involved MI,test_f1_NORM,test_f1_AMI,test_f1_IMI,test_f1_Lateral-involved MI,test_sensitivity_NORM,test_sensitivity_AMI,test_sensitivity_IMI,test_sensitivity_Lateral-involved MI,test_specificity_NORM,test_specificity_AMI,test_specificity_IMI,test_specificity_Lateral-involved MI,test_auc_NORM,test_auc_AMI,test_auc_IMI,test_auc_Lateral-involved MI
no_pretrain,1,0.995967741935484,0.992248062015504,0.9934102141680397,0.9915809167446212,0.9919354838709676,1.0,0.9867549668874172,0.9925925925925926,0.8982456140350877,0.8538011695906432,0.8983957219251337,0.9239130434782608,0.9078014184397164,0.7525773195876289,0.9130434782608696,1.0,0.9562841530054644,0.997560975609756,0.9318885448916407,0.966824644549763,0.992500871991629,0.9911491073673624,0.9717997038632388,0.9999163646501256
no_pretrain,2,0.984984984984985,0.9814241486068112,0.9770114942528736,0.9650613786591123,0.991869918699187,0.9634146341463414,0.9802631578947368,0.9774436090225564,0.9025270758122744,0.8654970760233918,0.7546296296296297,0.3582089552238806,0.8865248226950354,0.7628865979381443,0.8858695652173914,0.2823529411764706,0.9699453551912568,1.0,0.7368421052631579,0.9407582938388626,0.9848661008409876,0.9548654764898163,0.9311482029882892,0.9101756342347366
no_pretrain,3,0.9929506545820744,0.984567901234568,0.985172981878089,0.9765698219306468,0.9877551020408164,1.0,0.9901639344262296,0.9851851851851852,0.9057971014492754,0.779874213836478,0.8624338624338624,0.845771144278607,0.8865248226950354,0.6391752577319587,0.8858695652173914,1.0,0.9726775956284152,1.0,0.9040247678018576,0.9265402843601896,0.9633375964035188,0.9765401056072416,0.9302059496567506,1.0
no_pretrain,4,0.9929506545820744,0.9815384615384616,0.9801652892561984,0.9672591206735268,0.9919354838709676,0.9937888198757764,0.993421052631579,0.99625468164794,0.8695652173913043,0.8654970760233918,0.8987012987012987,0.934065934065934,0.851063829787234,0.7628865979381443,0.9402173913043478,1.0,0.9590163934426228,1.0,0.913312693498452,0.971563981042654,0.964073944890129,0.9971335177269298,0.94677951272042,0.9998048508502928
no_pretrain,5,0.9929506545820744,0.986046511627907,0.986842105263158,0.9812734082397004,0.9959839357429718,0.9938650306748468,0.99672131147541,0.988593155893536,0.8937728937728938,0.8402366863905325,0.8444444444444444,0.7544910179640718,0.8652482269503546,0.7319587628865979,0.9293478260869564,0.7411764705882353,0.9726775956284152,0.997560975609756,0.8452012383900929,0.9549763033175356,0.9758748982676432,0.943676137792306,0.9379627136895948,0.9637301366044048
frozen_backbone,1,0.7545023696682465,0.6937590711175616,0.6475037821482602,0.4496487119437939,0.8267716535433071,0.7852760736196319,0.7107438016528925,0.5247524752475248,0.7817589576547231,0.6802721088435374,0.6189376443418014,0.0,0.851063829787234,0.5154639175257731,0.7282608695652174,0.0,0.8743169398907104,1.0,0.6439628482972136,0.9004739336492891,0.9311320389102042,0.9885089263263768,0.8071241082245256,0.3959297463061054
frozen_backbone,2,0.7593283582089553,0.670605612998523,0.6064814814814815,0.4287343215507411,0.7937743190661478,0.7032967032967034,0.6686390532544378,0.4039408866995074,0.8,0.7019867549668874,0.6456310679611651,0.0,0.9078014184397164,0.5463917525773195,0.7228260869565217,0.0,0.860655737704918,0.997560975609756,0.7058823529411765,0.8909952606635071,0.9376816649226836,0.9941916017098316,0.8160082110647463,0.3812935600780596
frozen_backbone,3,0.7474560592044404,0.6524822695035462,0.6003236245954693,0.46,0.7777777777777778,0.6818181818181818,0.6337209302325582,0.3473684210526316,0.768361581920904,0.6928104575163399,0.7018469656992085,0.0,0.9645390070921984,0.5463917525773195,0.7228260869565217,0.0,0.7896174863387978,0.9926829268292684,0.8080495356037152,0.8981042654028436,0.9367902957020502,0.9936384209202916,0.8142078341634137,0.365597992751603
frozen_backbone,4,0.7760074976569822,0.6833578792341679,0.627906976744186,0.4717832957110609,0.7686567164179104,0.6986301369863014,0.6742209631728046,0.5258215962441315,0.7987220447284346,0.5190839694656488,0.6282973621103117,0.0,0.8865248226950354,0.3505154639175257,0.7119565217391305,0.0,0.8715846994535519,1.0,0.6842105263157895,0.8388625592417062,0.933069798085494,0.98604475735479,0.7974491856239062,0.377836632283245
frozen_backbone,5,0.7926267281105991,0.695139911634757,0.6403712296983759,0.4485549132947977,0.7490636704119851,0.6746987951807228,0.6971428571428572,0.4974619289340101,0.8126984126984127,0.60431654676259,0.6320754716981132,0.0,0.9078014184397164,0.4329896907216495,0.7282608695652174,0.0,0.8743169398907104,1.0,0.6718266253869969,0.8791469194312796,0.9310351509514396,0.990445059089766,0.8077298425090861,0.4161137440758293
