split,macro_f1,micro_f1,weighted_f1,balanced_accuracy,macro_auc,accuracy,loss
val,0.9896945266749171,0.9898167006109979,0.9898106082345585,0.9898709786851858,0.9989944052055597,0.9898167006109979,0.05896563354719339
test,0.8211288507271068,0.8244575936883629,0.8228471282373919,0.8320439056870543,0.9300454092144546,0.8244575936883629,1.0561936099148361
