epoch,train_loss,val_loss,test_loss,train_macro_f1,val_macro_f1,test_macro_f1,train_micro_f1,val_micro_f1,test_micro_f1,AUROC_macro,AUPRC_macro,learning_rate,epoch_time,L_BCE,L_ALPA,L_territory,L_exclusive,L_consistency,val_f1_Normal,val_f1_Anterior,val_f1_Inferior,val_f1_Lateral
1,0.7199091936279652,0.6088971161842346,0.6286088449973859,0.519984154995382,0.6931783906850648,0.6546399341943743,0.7289498055195407,0.798167609808677,0.7791294944579616,0.9121384024620056,0.6973544359207153,0.001,29.639442920684814,0.2732264579584201,1.2506280168890953,0.27582448720932007,0.042182531828681626,0.0010366967277756582,0.9221616261774913,0.7370030581039755,0.6461949265687583,0.46735395189003437
2,0.5964594408484347,0.7007526241938273,0.7434698643659224,0.6242929903182084,0.6996581048728643,0.6627514738852083,0.6974750830564784,0.8064516129032258,0.7877266387726639,0.9132206439971924,0.7195401191711426,0.001,24.502415657043457,0.36126860852042836,1.2093609993656476,0.32686619833111763,0.022718215904509027,0.0001688870731110607,0.9238476953907816,0.7545304777594728,0.6459459459459459,0.4743083003952569
3,0.5655279298984763,0.5994032080968221,0.6191543716553962,0.6668173631538503,0.7263009118313535,0.6854737939037856,0.746018980215538,0.8219252795200437,0.7995636760294519,0.9298093318939209,0.758847713470459,0.001,24.653817892074585,0.2838578876107931,1.183640293776989,0.26555676758289337,0.03072468874355157,0.00031003300682641566,0.9297625063163214,0.7836990595611285,0.678921568627451,0.5128205128205128
4,0.545666597600813,0.5270018289883931,0.5500277928752446,0.707229457969288,0.7254572590318747,0.7102897562518553,0.7950092733097286,0.8174904942965779,0.8052301825115772,0.9355432987213135,0.7726528644561768,0.001,25.139519691467285,0.22228925613065562,1.170162429412206,0.2278662963459889,0.03394135320559144,0.0002151490837907962,0.9362139917695473,0.8020304568527918,0.6991037131882202,0.4644808743169399
5,0.5272428058790242,0.5659330897331237,0.5980498446323627,0.693620955871459,0.7355076572299429,0.7006319676550548,0.7633020214425599,0.8318042813455657,0.8153931957612939,0.9374473094940186,0.7721751928329468,0.001,25.00750994682312,0.25733276704947156,1.1719426413377125,0.24610065389424562,0.03163890905367831,0.0002568891983780001,0.9352667011910927,0.8184615384615385,0.6977363515312917,0.49056603773584906
6,0.5098523248938712,0.5176178836822509,0.5342237829847511,0.7421956206026714,0.7427239786838586,0.7046097246942423,0.8362903795857779,0.8468519568916619,0.8347037142047066,0.941447913646698,0.7906570434570312,0.001,24.8241286277771,0.21648925418655077,1.1625379746158917,0.22158533272643885,0.04227669335280856,0.0002399438975165443,0.9384460141271443,0.8203497615262321,0.7121001390820584,0.5
7,0.49943222881019883,0.5462002121607462,0.5724918337484778,0.7222819122855488,0.7426712431865166,0.7177785412480855,0.8018672890963655,0.8416666666666667,0.8312985571587126,0.9429277777671814,0.7921518087387085,0.001,24.964951038360596,0.24520752330621085,1.1507491966088612,0.23777284286916256,0.023443394418184955,0.0002046044761906766,0.9395632300660234,0.8170731707317073,0.7119565217391305,0.502092050209205
8,0.4946832509813017,0.5354197122255961,0.5553121719322607,0.7165899704833891,0.7478394360445929,0.7161119382969585,0.8191701331841856,0.8389074693422519,0.8274706867671692,0.9448928236961365,0.7995028495788574,0.001,25.01500678062439,0.23487122791508833,1.14738130569458,0.232176773250103,0.028472040159006912,0.0004346419203405579,0.9365159979685119,0.8225538971807629,0.7055702917771883,0.5267175572519084
9,0.4904826822611877,0.5129381345113119,0.5315456989572671,0.7379220450592778,0.7528784912399518,0.7447146769265458,0.813577659070931,0.8397365532381997,0.8373362445414847,0.9480127096176147,0.7995395660400391,0.001,26.759227514266968,0.21710150968283415,1.1418193901578586,0.2205096340427796,0.02916052859897415,0.00029189017186581623,0.9372384937238494,0.8358662613981763,0.7282051282051282,0.5102040816326531
10,0.47582756821050604,0.5106465965906779,0.5204590805916799,0.7472284323097483,0.753523600826781,0.743977942012501,0.8477216945896916,0.8423958045818383,0.8381374722838137,0.9486974477767944,0.8094576597213745,0.001,26.256009578704834,0.21205386146903038,1.1606292128562927,0.2147723858555158,0.03764458862133324,0.0005917100752412807,0.9356002060793406,0.8291925465838509,0.745945945945946,0.5033557046979866
11,0.4719406549846631,0.49687949069341025,0.5163661472715614,0.7532574204741719,0.7552585550390917,0.7492692182134255,0.8336737472766884,0.8419291887371062,0.8388718235129852,0.9500452876091003,0.8163884878158569,0.001,25.896398067474365,0.20267097651958466,1.1482434173425038,0.20509622432291508,0.044809411745518446,0.0002877014467230765,0.9414204250907205,0.8330827067669173,0.7123695976154992,0.5341614906832298
12,0.4676683450230529,0.5297575373649597,0.5327898666537846,0.7510196231202202,0.7554049368789112,0.7443499676499149,0.8236121341994241,0.8465167915625867,0.8444816053511706,0.9472431540489197,0.800097644329071,0.001,25.319721937179565,0.23179070092737675,1.1392019564906757,0.2297813119366765,0.029687196870024007,0.00021827852136387568,0.9406952965235174,0.8411214953271028,0.7255172413793104,0.5142857142857142
13,0.4604178208272843,0.5051008747418722,0.5117476157903043,0.7722285905226591,0.7469543508738277,0.7318208305195528,0.8535158254918734,0.8347492463688682,0.8304383788254756,0.9458199143409729,0.802837610244751,0.001,25.989225149154663,0.21071772339443365,1.1430680255095165,0.21240020481248698,0.03298471604163448,0.0002223929229027514,0.9351047521716913,0.8238897396630934,0.7076502732240437,0.5211726384364821
14,0.4580111938527007,0.5030803408622742,0.5080963863860963,0.7794430319707419,0.7622966707201799,0.7509941666139623,0.8655284727441928,0.8499014362151507,0.8430265386787126,0.9495248198509216,0.8125459551811218,0.001,27.227339267730713,0.21095865685492754,1.1367108076810837,0.209484721844395,0.026335978414863348,0.0003347305349355641,0.9410548086866598,0.8396946564885496,0.7318518518518519,0.5365853658536586
15,0.45677864935448625,0.5504867850939433,0.5540177012181848,0.7615472448893429,0.7528012811851247,0.7440404712205096,0.8355898052246457,0.8485714285714285,0.846929950994523,0.9454260468482971,0.8022524118423462,0.001,26.879474401474,0.2506025740876794,1.147229552268982,0.24153389316052198,0.02437533310148865,0.00043498253883929766,0.9357986646122239,0.8385093167701864,0.7242921013412816,0.5126050420168067
16,0.45097121482457975,0.49804336643218994,0.4922534183336122,0.7897097913825847,0.7567728855990734,0.760150001395097,0.8684521042657418,0.8452655889145496,0.8472622478386167,0.9467868804931641,0.8113707304000854,0.001,26.621190071105957,0.20574251438180605,1.132420187195142,0.20815502479672432,0.04009617865085602,0.00029427481604216155,0.9386470896696382,0.8497576736672051,0.7080745341614907,0.5306122448979592
17,0.4459402450989269,0.49018911012013755,0.49392667043177624,0.7930406632131675,0.7767028503896668,0.763073182924336,0.8651558871138011,0.8608160983789827,0.8565815324165029,0.9532896876335144,0.8260044455528259,0.001,26.52383542060852,0.20195340178906918,1.1343935305873554,0.2004605814193686,0.03061966799820463,0.0003642241335910512,0.9440488301119023,0.8493150684931506,0.7463976945244957,0.5670498084291188
18,0.4439729599826984,0.506615930557251,0.5076368784527037,0.7872698418699126,0.7659505810593661,0.7643625637607914,0.8546636219919199,0.8524682651622003,0.8487252124645892,0.9502943754196167,0.8123290538787842,0.001,26.473040103912354,0.21665437581638494,1.1279568125804265,0.21176305195937553,0.027854652842506766,0.0002327873838415447,0.9387966804979253,0.8455538221528861,0.7415730337078652,0.5378787878787878
19,0.43910170857086417,0.49948494958877565,0.5057891148061425,0.7865290824977982,0.7651851215413921,0.7462753254257224,0.8640972197689617,0.855374226223973,0.8447694038245219,0.9494979381561279,0.8128248453140259,0.001,26.457062482833862,0.20986044531067213,1.1264350712299347,0.20996757907172045,0.026026875789587695,0.00042201905974555604,0.9425403225806451,0.8170731707317073,0.7570093457943925,0.5441176470588235
20,0.43515536274115113,0.4802051706314087,0.49480040406803344,0.8059207098189294,0.7837567198388451,0.7621676174899563,0.8779222624884531,0.8661951909476662,0.8563300142247511,0.9535205364227295,0.8299829363822937,0.001,26.445270538330078,0.19492278775821129,1.1246125971277554,0.19494212915500006,0.025261416099965572,0.0004359014268023505,0.9446981227803145,0.8540706605222734,0.7485029940119761,0.5877551020408164
21,0.43390872896006044,0.47843670813242595,0.4800191774846381,0.8070646792990916,0.7750002258375094,0.7676492859530961,0.8772429507262888,0.8638578389223273,0.8573893041978148,0.9535213708877563,0.8255234956741333,0.001,26.562172412872314,0.19456363221009573,1.1190103168288867,0.19357839630295834,0.032150224704916276,0.0003385953823453747,0.94272681196148,0.861198738170347,0.7409733124018838,0.5551020408163265
22,0.4327049045765239,0.48526734987894693,0.4886314376677561,0.7950400773117263,0.7698915784015534,0.7664084105889993,0.8702731655061596,0.8563267637817766,0.851258581235698,0.9544106721878052,0.8211907148361206,0.001,26.678062438964844,0.19707070228954157,1.130563994248708,0.19915354065597057,0.0312547004626443,0.00040111579013076454,0.9447287615148413,0.8453947368421053,0.7303030303030303,0.5591397849462365
23,0.4281335657802186,0.5444652709960938,0.5545819741440322,0.7920040263443862,0.7657648639007528,0.7550721562077152,0.8524096385542169,0.8515870746354017,0.8471134319698288,0.9501945376396179,0.8141380548477173,0.001,26.721384525299072,0.25113658234477043,1.1281008372704189,0.23153020006914934,0.020462010366221268,0.00034133909017934155,0.9369834710743802,0.8490878938640133,0.7368421052631579,0.5401459854014599
24,0.423518379134804,0.4983564251263936,0.490527226144846,0.8031871741160218,0.7624611830603029,0.7748822995698731,0.8768087321819683,0.8478573482887547,0.8535324526134406,0.9505506753921509,0.8123425245285034,0.001,27.009852170944214,0.20924924748639265,1.1168667723735173,0.20781766685346761,0.037200631108134985,0.0004029925985378213,0.9403217436429684,0.8408710217755444,0.7164634146341463,0.5521885521885522
25,0.42605576785422716,0.5033188983599345,0.49335978512399115,0.7926213864064415,0.769751708720973,0.7828715051733257,0.8611091336228376,0.8532345397549159,0.8622171297622457,0.9528318047523499,0.8210190534591675,0.001,26.52812933921814,0.2106964224949479,1.1326154147585232,0.21455378426859775,0.03422983083873987,0.0003512403770097687,0.9373354397051079,0.8401976935749588,0.7574123989218329,0.5440613026819924
26,0.41836703154831084,0.4800633308092753,0.4708334172935788,0.8176044918819412,0.7802037050918061,0.7714541821184078,0.8889452884231899,0.8632723112128147,0.8577968526466381,0.9528998136520386,0.8236265182495117,0.001,24.552464246749878,0.19426783888290325,1.1269308750828106,0.19430045690387487,0.0375472471738855,0.00037966393150175765,0.9403292181069959,0.8562300319488818,0.7585185185185185,0.5657370517928287
27,0.4154566049665317,0.5047807443936666,0.5101462758310866,0.8107888940429816,0.7667991991987972,0.7676776415604305,0.8818037058482918,0.8480585256049522,0.8497175141242937,0.953502893447876,0.8234474062919617,0.0005,24.552446842193604,0.21458989878495535,1.1199294328689575,0.20940886810421944,0.03343116406661769,0.0005473590948289105,0.9382845188284519,0.8461538461538461,0.7390691114245416,0.5436893203883495
28,0.3973771199029534,0.5026158639589946,0.49983293997580897,0.8056538568883218,0.7783472136455399,0.7827843222248912,0.8729369518679649,0.8557075076751326,0.8551454138702461,0.9550977349281311,0.8292773962020874,0.0005,24.568935871124268,0.21175924595445395,1.1222551787892978,0.21384437382221222,0.0268255751968051,0.0003164800412681264,0.9387129724208376,0.8632619439868204,0.7464788732394366,0.564935064935065
29,0.38931634881928867,0.4962321882247925,0.4975518812290282,0.8373518454852416,0.7902722545830203,0.776694375067748,0.8947274860454367,0.8667425968109339,0.8612140210886292,0.9541158676147461,0.8256418704986572,0.0005,24.563535451889038,0.20918502379208803,1.119682473440965,0.20604856560627619,0.026742428230742615,0.0003242274566825169,0.9425051334702259,0.8476190476190476,0.7694610778443114,0.6015037593984962
30,0.385195689688297,0.4878759198188782,0.484243773061556,0.8371287600568212,0.7819393027150983,0.7850274065014164,0.8978328173374613,0.8615819209039548,0.8605958403597527,0.9562987685203552,0.830020546913147,0.0005,24.56476902961731,0.20322224715103707,1.1137798552711804,0.19996605658282837,0.025447817402891815,0.0004422474673143976,0.9417825862957239,0.8632619439868204,0.7584269662921348,0.5642857142857143
