strategy,fold,train_f1_NORM,train_f1_AMI,train_f1_IMI,train_f1_LMI,val_f1_NORM,val_f1_AMI,val_f1_IMI,val_f1_LMI,test_f1_NORM,test_f1_AMI,test_f1_IMI,test_f1_LMI,test_sensitivity_NORM,test_sensitivity_AMI,test_sensitivity_IMI,test_sensitivity_LMI,test_specificity_NORM,test_specificity_AMI,test_specificity_IMI,test_specificity_LMI,test_auc_NORM,test_auc_AMI,test_auc_IMI,test_auc_LMI
no_pretrain,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8519607843137255,0.4996005326231691,0.6696514230892229,0.6924731182795699,0.8553149606299213,0.5406340057636888,0.625261272021499,1.0,0.9408960915157292,0.8047636232407073,0.7935336048879837,0.9799044406970208,0.9816070141792334,0.7479576968956994,0.7122219813313273,0.9990625621903574
no_pretrain,2,1.0,1.0,1.0,1.0,0.9991301826616412,0.9996440014239945,0.9991208791208792,1.0,0.8713922881551605,0.5274447949526814,0.7539092151206923,0.6909871244635193,0.9286417322834646,0.4818443804034582,0.7414153478650344,1.0,0.9214489990467112,0.8919162757127391,0.8077902240325866,0.9797639123102868,0.9892572510002028,0.7946629718877173,0.8441431053072961,0.9999018046987106
no_pretrain,3,1.0,1.0,1.0,1.0,0.9997102289191538,0.9996440014239945,0.9995602462620932,1.0,0.9181731684110372,0.432146829810901,0.6396241190289742,0.8672086720867209,0.9498031496062992,0.4478386167146974,0.6097342490295611,0.9937888198757764,0.953860819828408,0.8044027426921689,0.7469450101832994,0.9932546374367622,0.9828226920276528,0.807514791422483,0.7763378085320785,0.9995766691455524
no_pretrain,4,0.9999275414825012,1.0,0.9999450277609808,1.0,0.9994199535962875,0.9989320042719828,0.998901340364755,1.0,0.8544956833017477,0.5723209995194618,0.5851479620323842,0.7851851851851852,0.998523622047244,0.6864553314121038,0.4693938489101224,0.6583850931677019,0.8688274547187798,0.7769758210032479,0.884928716904277,0.9995784148397976,0.9898082069162232,0.845773433575619,0.8447595309175187,0.9971196044955118
no_pretrain,5,0.9999275309805058,1.0,0.9999450338042104,1.0,0.9991311902693312,0.9989312433202708,0.9986807387862796,1.0,0.8718294051627385,0.4908424908424908,0.7307460890493381,0.0,0.9557086614173228,0.4634005763688761,0.7252911316810988,0.0,0.9082936129647284,0.8670155178635871,0.7785132382892057,0.9980326025857224,0.9883696884171652,0.77523402635572,0.8318299106217073,0.9898775919195304
frozen_backbone,1,0.984555427251732,0.9900142653352354,0.9862410566868464,0.9702127659574468,0.981955762514552,0.9953785993601136,0.9866022402811332,0.9375,0.8313704496788008,0.6120634920634921,0.7513661202185792,0.9195402298850576,0.7642716535433071,0.5556195965417867,0.8211406389967154,0.9937888198757764,0.971210676835081,0.9186214363045831,0.6891547861507128,0.9962057335581788,0.979759782469994,0.8165390931394215,0.8204469416350079,0.9999746874334454
frozen_backbone,2,0.9884141926140478,0.9935036041648126,0.989224848818032,0.9769392033542976,0.9889406286379512,0.9946638207043756,0.9894690653795524,0.975609756097561,0.8261224489795919,0.6655989750160154,0.7733261629470287,0.9529780564263324,0.7470472440944882,0.5988472622478386,0.858763810092565,0.9440993788819876,0.9761677788369876,0.9372067845543124,0.6911914460285132,0.9991568296795952,0.980236896031466,0.8254329266580485,0.827685476529152,0.999853361683408
frozen_backbone,3,0.9779480876292388,0.9878831076265148,0.9798724153101628,0.9642105263157896,0.9892597968069666,0.9928774928774928,0.989010989010989,0.96,0.836981715168684,0.6500473335437046,0.7560464140919894,0.9169054441260746,0.7997047244094488,0.5936599423631124,0.8074051955807704,0.9937888198757764,0.9569113441372736,0.9271021291952364,0.719959266802444,0.9960652051714446,0.9758045720333576,0.8371020043950467,0.8210997035927069,0.9999642132679746
frozen_backbone,4,0.9793762211448006,0.9892300845571872,0.981744198834268,0.9662447257383966,0.9816058394160584,0.993240839558876,0.9851073149364872,0.9523809523809524,0.8657445077298617,0.6677165354330709,0.7904826648538409,0.9317507418397626,0.7854330708661418,0.6109510086455331,0.868020304568528,0.9751552795031057,0.9887511916110582,0.9314326957776976,0.720213849287169,0.9973299606520516,0.9837512103765864,0.8241818047563433,0.8272378857050072,0.9998009908560536
frozen_backbone,5,0.9892846799884158,0.9927852498441258,0.989666923161482,0.9896049896049895,0.9933352651405388,0.996078431372549,0.9934094903339192,1.0,0.881052892972436,0.7006060606060606,0.790273556231003,0.949685534591195,0.8730314960629921,0.6662824207492796,0.8151687070767393,0.937888198757764,0.957864632983794,0.9261999278238904,0.7886965376782077,0.9991568296795952,0.9785466848817396,0.8541148702546029,0.8362252783607472,0.9998952583452914
