strategy,fold,status,error,train_main_macro_f1,val_main_macro_f1,test_main_macro_f1,test_main_micro_f1,test_main_weighted_f1,test_accuracy,test_balanced_accuracy,test_macro_auc,test_loss,checkpoint_path,output_dir,trainable_params,total_params,trainable_ratio,train_f1_NORM,val_f1_NORM,test_f1_NORM,test_sensitivity_NORM,test_specificity_NORM,test_auc_NORM,train_f1_AMI,val_f1_AMI,test_f1_AMI,test_sensitivity_AMI,test_specificity_AMI,test_auc_AMI,train_f1_IMI,val_f1_IMI,test_f1_IMI,test_sensitivity_IMI,test_specificity_IMI,test_auc_IMI,train_f1_LMI,val_f1_LMI,test_f1_LMI,test_sensitivity_LMI,test_specificity_LMI,test_auc_LMI
no_pretrain,1,OK,,1.0,1.0,0.6784214645764218,0.6776144015390958,0.6805197232094966,0.6776144015390958,0.7553025596037772,0.8602123136491543,3.944139116894892,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/2_alpanet_finetune/20260610_222108/transfer_strategies/no_pretrain/fold_1/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/2_alpanet_finetune/20260610_222108/transfer_strategies/no_pretrain/fold_1,513493,513493,1.0,1.0,1.0,0.8519607843137255,0.8553149606299213,0.9408960915157293,0.9816070141792334,1.0,1.0,0.4996005326231691,0.5406340057636888,0.8047636232407073,0.7479576968956994,1.0,1.0,0.6696514230892229,0.625261272021499,0.7935336048879837,0.7122219813313273,1.0,1.0,0.6924731182795699,1.0,0.9799044406970208,0.9990625621903574
no_pretrain,2,OK,,1.0,0.9994737658016286,0.7109333556730133,0.7375292015940634,0.7313283959395375,0.7375292015940634,0.7879753651379893,0.9069912832234817,2.6766259517099615,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/2_alpanet_finetune/20260610_222108/transfer_strategies/no_pretrain/fold_2/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/2_alpanet_finetune/20260610_222108/transfer_strategies/no_pretrain/fold_2,513493,513493,1.0,1.0,0.9991301826616411,0.8713922881551605,0.9286417322834646,0.9214489990467112,0.9892572510002027,1.0,0.9996440014239943,0.5274447949526814,0.48184438040345823,0.8919162757127391,0.7946629718877173,1.0,0.9991208791208791,0.7539092151206923,0.7414153478650344,0.8077902240325866,0.8441431053072961,1.0,1.0,0.6909871244635193,1.0,0.9797639123102867,0.9999018046987106
no_pretrain,3,OK,,1.0,0.9997286191513104,0.7142881973344084,0.6745911776831112,0.6729729832028498,0.6745911776831112,0.7502912088065835,0.8915629902819417,3.2421052358632814,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/2_alpanet_finetune/20260610_222108/transfer_strategies/no_pretrain/fold_3/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/2_alpanet_finetune/20260610_222108/transfer_strategies/no_pretrain/fold_3,513493,513493,1.0,1.0,0.9997102289191538,0.9181731684110371,0.9498031496062992,0.953860819828408,0.9828226920276529,1.0,0.9996440014239943,0.432146829810901,0.4478386167146974,0.8044027426921689,0.807514791422483,1.0,0.9995602462620933,0.6396241190289742,0.6097342490295611,0.7469450101832994,0.7763378085320785,1.0,1.0,0.8672086720867209,0.9937888198757764,0.9932546374367622,0.9995766691455525
no_pretrain,4,OK,,0.9999681423108705,0.9993133245582564,0.6992874575096947,0.6730795657551188,0.6617270169433404,0.6730795657551188,0.7031894738842931,0.9193651939762182,2.9619746435845182,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/2_alpanet_finetune/20260610_222108/transfer_strategies/no_pretrain/fold_4/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/2_alpanet_finetune/20260610_222108/transfer_strategies/no_pretrain/fold_4,513493,513493,1.0,0.9999275414825013,0.9994199535962877,0.8544956833017477,0.9985236220472441,0.8688274547187798,0.9898082069162232,1.0,0.9989320042719829,0.5723209995194618,0.6864553314121038,0.7769758210032479,0.845773433575619,0.9999450277609807,0.998901340364755,0.5851479620323842,0.4693938489101224,0.884928716904277,0.8447595309175187,1.0,1.0,0.7851851851851852,0.6583850931677019,0.9995784148397976,0.9971196044955118
no_pretrain,5,OK,,0.999968141196179,0.9991857930939704,0.5233544962636418,0.7111447024872887,0.6967758314042379,0.7111447024872887,0.5361000923668244,0.8963278043285308,2.7397410438637824,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/2_alpanet_finetune/20260610_222108/transfer_strategies/no_pretrain/fold_5/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/2_alpanet_finetune/20260610_222108/transfer_strategies/no_pretrain/fold_5,513493,513493,1.0,0.9999275309805058,0.9991311902693311,0.8718294051627385,0.9557086614173228,0.9082936129647283,0.9883696884171652,1.0,0.9989312433202707,0.4908424908424908,0.4634005763688761,0.8670155178635871,0.77523402635572,0.9999450338042104,0.9986807387862797,0.7307460890493381,0.7252911316810988,0.7785132382892057,0.8318299106217073,1.0,1.0,0.0,0.0,0.9980326025857224,0.9898775919195305
frozen_backbone,1,OK,,0.9827558788078152,0.9753591505389497,0.7785850729614823,0.7457743575649306,0.7442141028034902,0.7457743575649306,0.7837051772393964,0.9041801261694671,0.902076115118636,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/2_alpanet_finetune/20260610_222108/transfer_strategies/frozen_backbone/fold_1/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/2_alpanet_finetune/20260610_222108/transfer_strategies/frozen_backbone/fold_1,33924,513493,0.06606516544529331,0.9845554272517321,0.9819557625145519,0.8313704496788008,0.7642716535433071,0.971210676835081,0.979759782469994,0.9900142653352354,0.9953785993601137,0.6120634920634921,0.5556195965417867,0.9186214363045831,0.8165390931394215,0.9862410566868465,0.9866022402811333,0.7513661202185792,0.8211406389967154,0.6891547861507128,0.8204469416350079,0.9702127659574468,0.9375,0.9195402298850575,0.9937888198757764,0.9962057335581788,0.9999746874334454
frozen_backbone,2,OK,,0.9870204622377975,0.98717081770486,0.8045064108422421,0.7674866016215474,0.7663589150437756,0.7674866016215474,0.7871894238292199,0.9083021652255187,1.0186568837132715,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/2_alpanet_finetune/20260610_222108/transfer_strategies/frozen_backbone/fold_2/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/2_alpanet_finetune/20260610_222108/transfer_strategies/frozen_backbone/fold_2,33924,513493,0.06606516544529331,0.9884141926140478,0.9889406286379511,0.8261224489795919,0.7470472440944882,0.9761677788369876,0.980236896031466,0.9935036041648126,0.9946638207043756,0.6655989750160154,0.5988472622478386,0.9372067845543125,0.8254329266580485,0.9892248488180319,0.9894690653795525,0.7733261629470287,0.858763810092565,0.6911914460285132,0.827685476529152,0.9769392033542977,0.975609756097561,0.9529780564263323,0.9440993788819876,0.9991568296795953,0.9998533616834079
frozen_backbone,3,OK,,0.9774785342204264,0.9827870696738621,0.7899952267326131,0.7584169300535936,0.7569328275689795,0.7584169300535936,0.798639670557277,0.9084926233222715,0.9314835632373166,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/2_alpanet_finetune/20260610_222108/transfer_strategies/frozen_backbone/fold_3/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/2_alpanet_finetune/20260610_222108/transfer_strategies/frozen_backbone/fold_3,33924,513493,0.06606516544529331,0.9779480876292387,0.9892597968069666,0.836981715168684,0.7997047244094488,0.9569113441372736,0.9758045720333577,0.9878831076265147,0.9928774928774928,0.6500473335437046,0.5936599423631124,0.9271021291952364,0.8371020043950467,0.9798724153101628,0.989010989010989,0.7560464140919894,0.8074051955807704,0.719959266802444,0.8210997035927069,0.9642105263157895,0.96,0.9169054441260746,0.9937888198757764,0.9960652051714446,0.9999642132679746
frozen_backbone,4,OK,,0.9791488075686632,0.9780837365730934,0.813923612464134,0.7860382025559983,0.7853537642868177,0.7860382025559983,0.8098899158958272,0.9087429729234977,0.943402153219349,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/2_alpanet_finetune/20260610_222108/transfer_strategies/frozen_backbone/fold_4/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/2_alpanet_finetune/20260610_222108/transfer_strategies/frozen_backbone/fold_4,33924,513493,0.06606516544529331,0.9793762211448006,0.9816058394160584,0.8657445077298617,0.7854330708661418,0.9887511916110582,0.9837512103765865,0.9892300845571873,0.9932408395588759,0.6677165354330709,0.6109510086455331,0.9314326957776976,0.8241818047563433,0.9817441988342681,0.9851073149364871,0.7904826648538409,0.868020304568528,0.720213849287169,0.8272378857050072,0.9662447257383966,0.9523809523809523,0.9317507418397626,0.9751552795031055,0.9973299606520517,0.9998009908560536
frozen_backbone,5,OK,,0.9903354606497534,0.9957057967117517,0.8304045111001737,0.7985433557784801,0.7977705791615112,0.7985433557784801,0.8230927056616938,0.9171955229605953,0.9004334090356602,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/2_alpanet_finetune/20260610_222108/transfer_strategies/frozen_backbone/fold_5/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/2_alpanet_finetune/20260610_222108/transfer_strategies/frozen_backbone/fold_5,33924,513493,0.06606516544529331,0.9892846799884158,0.9933352651405389,0.881052892972436,0.8730314960629921,0.9578646329837941,0.9785466848817397,0.9927852498441258,0.996078431372549,0.7006060606060606,0.6662824207492796,0.9261999278238903,0.8541148702546029,0.9896669231614819,0.9934094903339191,0.790273556231003,0.8151687070767393,0.7886965376782077,0.8362252783607472,0.9896049896049897,1.0,0.949685534591195,0.937888198757764,0.9991568296795953,0.9998952583452914
partial_finetune,1,OK,,0.999868442922754,0.9996012668401757,0.709826910498313,0.7016627731207915,0.6948395940169287,0.7016627731207915,0.7993986448371793,0.9147213930664881,2.78180961925249,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/2_alpanet_finetune/20260610_222108/transfer_strategies/partial_finetune/fold_1/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/2_alpanet_finetune/20260610_222108/transfer_strategies/partial_finetune/fold_1,449333,513493,0.8750518507555117,0.9997826244475038,0.9994206257242179,0.9036801453884598,0.9788385826771654,0.9273593898951382,0.9798540323367587,0.9999110241124656,0.9996445076430857,0.5984174085064293,0.6974063400576369,0.8016961385781306,0.8608853325457054,0.9997801231310466,0.9993399339933994,0.6168521462639109,0.5213496566139146,0.8559063136456212,0.8185939779573682,1.0,1.0,0.7203579418344519,1.0,0.982433951658235,0.9995522294261205
partial_finetune,2,OK,,1.0,0.9990750641230011,0.7391754501394657,0.7302459804864642,0.7300128005356807,0.7302459804864642,0.7639092478562124,0.9094858790433009,2.0113535457757044,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/2_alpanet_finetune/20260610_222108/transfer_strategies/partial_finetune/fold_2/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/2_alpanet_finetune/20260610_222108/transfer_strategies/partial_finetune/fold_2,449333,513493,0.8750518507555117,1.0,0.9985519837822183,0.8845598845598845,0.90501968503937,0.9452812202097235,0.9724438066249822,1.0,0.9992877492877493,0.6084815321477428,0.6409221902017291,0.8542042583904728,0.8459708778757344,1.0,0.9984605234220365,0.6974632007516443,0.6649746192893401,0.7937881873727087,0.8222678259431183,1.0,1.0,0.7661971830985915,0.84472049689441,0.991849353569421,0.9972610057293685
partial_finetune,3,OK,,0.9999362835073229,0.9993464066863283,0.7652028289910509,0.7151298612065412,0.7175820229056694,0.7151298612065412,0.7578675268364274,0.9060572138716076,2.2437754020495158,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/2_alpanet_finetune/20260610_222108/transfer_strategies/partial_finetune/fold_3/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/2_alpanet_finetune/20260610_222108/transfer_strategies/partial_finetune/fold_3,449333,513493,0.8750518507555117,0.9998550724637681,0.9988412514484357,0.8137609932747025,0.7741141732283464,0.9502383222116301,0.9574773124760738,1.0,0.9996440014239943,0.6274834437086093,0.6553314121037463,0.8643089137495489,0.8593983382854742,0.9998900615655233,0.9989003738728832,0.696,0.7014034040011944,0.7321792260692465,0.807748604471408,1.0,1.0,0.9235668789808917,0.9006211180124224,0.9988757729061271,0.9996046002534748
partial_finetune,4,OK,,1.0,0.9990420167367564,0.7850079185505221,0.7537446750034354,0.75140427552306,0.7537446750034354,0.7815649252667585,0.9160656329747789,2.035344418692365,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/2_alpanet_finetune/20260610_222108/transfer_strategies/partial_finetune/fold_4/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/2_alpanet_finetune/20260610_222108/transfer_strategies/partial_finetune/fold_4,449333,513493,0.8750518507555117,1.0,0.999129677980853,0.9225142857142857,0.9931102362204725,0.9380362249761678,0.9788033034836326,1.0,0.998576512455516,0.5912328767123287,0.6219020172910663,0.8491519307109346,0.8473326559456371,1.0,0.998461876510657,0.723274478330658,0.6727381307853091,0.840122199592668,0.8385324463818424,1.0,1.0,0.903010033444816,0.8385093167701864,0.9995784148397976,0.9995941260880039
