strategy,avg_test_main_macro_f1,std_test_main_macro_f1,avg_test_main_micro_f1,std_test_main_micro_f1,avg_test_main_weighted_f1,std_test_main_weighted_f1,avg_test_accuracy,std_test_accuracy,avg_test_balanced_accuracy,std_test_balanced_accuracy,avg_test_macro_auc,std_test_macro_auc,avg_test_loss,std_test_loss,best_fold_for_strategy
frozen_backbone,0.803482966820129,0.02022775516967537,0.77125188951491,0.021162923922041128,0.7701260377729149,0.02153940984781936,0.77125188951491,0.021162923922041128,0.8005033786366829,0.016288793292969856,0.9093826821202701,0.0047559441675039255,0.9392104248648467,0.04814464850247617,5
full_finetune,0.7646299101333909,0.024214517402270628,0.7248041775456919,0.030762216649736118,0.7226935231833075,0.030414458218935948,0.7248041775456919,0.030762216649736118,0.7836190671495497,0.026652609016677518,0.8954939717870912,0.021998559964521262,2.9792772898170576,0.5554234361086492,1
partial_finetune,0.7412900413063918,0.034048044090107685,0.7285969492922908,0.02077872914880602,0.7268186546227371,0.02181258295212913,0.7285969492922908,0.02077872914880602,0.7567282672723227,0.045387941233188484,0.9096294613495133,0.00594064937252682,2.3562864867940427,0.36749948804619453,4
no_pretrain,0.6652569942714359,0.08055756251303055,0.6947918098117356,0.02858518930560632,0.6886647901398925,0.027037893756995716,0.6947918098117356,0.02858518930560632,0.7065717399598934,0.09998081977114288,0.8948919170918653,0.02214246126253271,3.112917198383287,0.5147848035628468,3
