strategy,fold,train_main_macro_f1,val_main_macro_f1,test_main_macro_f1,test_main_micro_f1,test_main_weighted_f1,test_accuracy,test_balanced_accuracy,test_macro_auc,test_loss,trainable_params,total_params,trainable_ratio,status,checkpoint_path,output_dir,train_f1_NORM,train_f1_AMI,train_f1_IMI,train_f1_Lateral-involved MI,val_f1_NORM,val_f1_AMI,val_f1_IMI,val_f1_Lateral-involved MI,test_f1_NORM,test_f1_AMI,test_f1_IMI,test_f1_Lateral-involved MI,test_sensitivity_NORM,test_sensitivity_AMI,test_sensitivity_IMI,test_sensitivity_Lateral-involved MI,test_specificity_NORM,test_specificity_AMI,test_specificity_IMI,test_specificity_Lateral-involved MI,test_auc_NORM,test_auc_AMI,test_auc_IMI,test_auc_Lateral-involved MI
no_pretrain,1,0.9957868847481672,0.97460593121787,0.7981375232417329,0.8086785009861933,0.8079308596484952,0.8086785009861933,0.7718681915912745,0.9613208110184208,0.8273206225043453,513493,513493,1.0,OK,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260614_133136/transfer_strategies/no_pretrain/fold_1/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260614_133136/transfer_strategies/no_pretrain/fold_1,0.9959758551307848,0.9984496124031008,0.9933993399339934,0.9953227315247896,0.9802371541501976,0.98159509202454,0.9666666666666668,0.9699248120300752,0.8821292775665399,0.7816091954022989,0.802784222737819,0.726027397260274,0.8226950354609929,0.7010309278350515,0.9402173913043478,0.6235294117647059,0.9836065573770492,0.9780487804878047,0.7708978328173375,0.981042654028436,0.9895361004534357,0.9352527030424944,0.9437171893929196,0.976777251184834
no_pretrain,2,0.9957721266382156,0.9794498670531344,0.65658303987406,0.7001972386587771,0.6866884069166509,0.7001972386587771,0.6467025329734781,0.9373320871616986,1.0502010520393326,513493,513493,1.0,OK,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260614_133136/transfer_strategies/no_pretrain/fold_2/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260614_133136/transfer_strategies/no_pretrain/fold_2,0.9949545913218972,0.9984544049459042,0.993431855500821,0.9962476547842402,0.9959839357429718,0.9759036144578314,0.9801324503311258,0.9657794676806084,0.8247422680412371,0.8520710059171598,0.6919431279620853,0.2575757575757575,0.851063829787234,0.7422680412371134,0.7934782608695652,0.2,0.918032786885246,1.0,0.7151702786377709,0.9289099526066352,0.9652753555788088,0.9705054060849888,0.885920043074438,0.9276275439085586
no_pretrain,3,0.9937778064078872,0.9920390535663411,0.770585013999431,0.8047337278106509,0.7938209622737142,0.8047337278106509,0.7601228292799138,0.9590998479338722,0.7850126789871757,513493,513493,1.0,OK,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260614_133136/transfer_strategies/no_pretrain/fold_3/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260614_133136/transfer_strategies/no_pretrain/fold_3,0.9919678714859438,0.9969040247678018,0.990916597853014,0.9953227315247896,0.9959839357429718,0.9937888198757764,0.993421052631579,0.9849624060150376,0.9491525423728814,0.905027932960894,0.7722772277227723,0.4558823529411764,0.9929078014184396,0.8350515463917526,0.8478260869565217,0.3647058823529411,0.9617486338797814,0.997560975609756,0.8018575851393189,0.95260663507109,0.9914544820369724,0.9958259994971084,0.902729169470992,0.9463897407304154
no_pretrain,4,0.995844804106128,0.994495778767533,0.7688890756955972,0.7790927021696252,0.7847920812843397,0.7790927021696252,0.7568391017869902,0.9291920344869216,1.0296169225515934,513493,513493,1.0,OK,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260614_133136/transfer_strategies/no_pretrain/fold_4/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260614_133136/transfer_strategies/no_pretrain/fold_4,0.998992950654582,0.9984496124031008,0.9933993399339934,0.9925373134328358,0.9877551020408164,1.0,0.990228013029316,1.0,0.8446215139442231,0.8143712574850299,0.801980198019802,0.6145833333333334,0.75177304964539,0.7010309278350515,0.8804347826086957,0.6941176470588235,0.989071038251366,0.9951219512195122,0.8204334365325078,0.8862559241706162,0.955024609541526,0.9528036208197134,0.91211805088168,0.8968218567047672
no_pretrain,5,0.9770383122668408,0.967549738479744,0.7406044356796303,0.7810650887573964,0.7638314073643085,0.7810650887573964,0.7285698957048319,0.9704194045682266,0.5422382054949654,513493,513493,1.0,OK,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260614_133136/transfer_strategies/no_pretrain/fold_5/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260614_133136/transfer_strategies/no_pretrain/fold_5,0.9819277108433736,0.9754601226993864,0.9752475247524752,0.975517890772128,0.9641434262948207,0.9876543209876544,0.9615384615384616,0.9568627450980391,0.898360655737705,0.8685714285714285,0.7548076923076923,0.4406779661016949,0.9716312056737588,0.7835051546391752,0.8532608695652174,0.3058823529411765,0.9262295081967212,0.9951219512195122,0.7678018575851393,0.9834123222748816,0.9856605821028562,0.9891626854412874,0.9329485798896218,0.9739057708391414
frozen_backbone,1,0.8762586776800978,0.8804773478721735,0.5685134229972708,0.650887573964497,0.6270533673285087,0.650887573964497,0.5667737768262173,0.8810157045297411,0.8381793433745232,33924,513493,0.0660651654452933,OK,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260614_133136/transfer_strategies/frozen_backbone/fold_1/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260614_133136/transfer_strategies/frozen_backbone/fold_1,0.9099901088031652,0.8875192604006163,0.8652138821630347,0.8423114593535749,0.9606299212598424,0.891566265060241,0.8802395209580839,0.7894736842105263,0.8732394366197183,0.7236842105263158,0.6771300448430493,0.0,0.8794326241134752,0.5670103092783505,0.8206521739130435,0.0,0.9480874316939892,1.0,0.6563467492260062,0.8886255924170616,0.9733170561562609,0.9716369122454112,0.8464631848162607,0.7326456649010316
frozen_backbone,2,0.8777084035013784,0.8501652871744823,0.5589394112231013,0.6331360946745562,0.6119185448004353,0.6331360946745562,0.558201387763017,0.886789822131544,0.8411303418275167,33924,513493,0.0660651654452933,OK,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260614_133136/transfer_strategies/frozen_backbone/fold_2/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260614_133136/transfer_strategies/frozen_backbone/fold_2,0.9128305582762,0.8922610015174507,0.8738664468260511,0.8318756073858115,0.9387755102040816,0.8780487804878049,0.8338368580060423,0.75,0.8378378378378378,0.7483870967741936,0.6495327102803738,0.0,0.8794326241134752,0.5979381443298969,0.7554347826086957,0.0,0.9153005464480874,1.0,0.6749226006191951,0.8815165876777251,0.971786226407782,0.9680412371134022,0.8604960290752457,0.7468357959297462
frozen_backbone,3,0.8813763146773282,0.8294225885406371,0.5734928934320577,0.650887573964497,0.6261682488911441,0.650887573964497,0.5765472063540504,0.8872655124022042,0.8146209406429494,33924,513493,0.0660651654452933,OK,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260614_133136/transfer_strategies/frozen_backbone/fold_3/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260614_133136/transfer_strategies/frozen_backbone/fold_3,0.9212598425196852,0.8845577211394303,0.8768718801996672,0.8428158148505304,0.9016393442622952,0.8024691358024691,0.8731563421828908,0.7404255319148936,0.8552188552188552,0.779874213836478,0.6588785046728972,0.0,0.900709219858156,0.6391752577319587,0.7663043478260869,0.0,0.9207650273224044,1.0,0.6811145510835913,0.8933649289099526,0.9628144014261908,0.965451345235102,0.8584600888410285,0.7623362141064955
frozen_backbone,4,0.8709333042405261,0.8597435294721505,0.5705641691309151,0.6449704142011834,0.6237498646150281,0.6449704142011834,0.5692051635401865,0.8838828727047072,0.8394553981118889,33924,513493,0.0660651654452933,OK,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260614_133136/transfer_strategies/frozen_backbone/fold_4/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260614_133136/transfer_strategies/frozen_backbone/fold_4,0.9191321499013808,0.8821752265861027,0.8648648648648649,0.817560975609756,0.9262295081967212,0.8717948717948718,0.8579710144927536,0.7829787234042553,0.8650519031141869,0.7643312101910829,0.6528735632183909,0.0,0.8865248226950354,0.6185567010309279,0.7717391304347826,0.0,0.9371584699453552,1.0,0.6625386996904025,0.8862559241706162,0.9715149401232416,0.9685189841589138,0.8496096379055054,0.7458879286311682
frozen_backbone,5,0.8719059724912088,0.8453079027491364,0.5828803463778682,0.6646942800788954,0.6376842540084731,0.6646942800788954,0.5889341158275874,0.8867890456330965,0.8182208796694904,33924,513493,0.0660651654452933,OK,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260614_133136/transfer_strategies/frozen_backbone/fold_5/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260614_133136/transfer_strategies/frozen_backbone/fold_5,0.9151219512195122,0.8678678678678678,0.8649093904448105,0.839724680432645,0.9121338912133892,0.8536585365853658,0.8531073446327684,0.7623318385650224,0.8646864686468647,0.7875,0.6793349168646081,0.0,0.9290780141843972,0.6494845360824743,0.7771739130434783,0.0,0.9153005464480874,1.0,0.7089783281733746,0.8933649289099526,0.9732201681974963,0.974453105355796,0.8712141607214968,0.7282687482575969
