split,macro_f1,weighted_f1,balanced_accuracy,macro_auc,accuracy
val,0.5265764527536291,0.8329714484675168,0.669048740041464,0.9053099626741388,0.8081557736812705
test,0.5325236347362011,0.838624259677465,0.6475716461054353,0.9248026597579552,0.8153020459222792
