,I,aVL,II,III,aVF,aVR,V1,V2,V3,V4,V5,V6
NORM,0.08335958,0.083344534,0.083361976,0.08331076,0.08332855,0.08327916,0.083259955,0.08324171,0.083259076,0.08334506,0.08345265,0.083457075
AMI,0.0073353946,0.0073396172,0.0073260656,0.007334827,0.0073290095,0.00732182,0.23530982,0.2353269,0.23541635,0.23530543,0.0073276917,0.0073271887
IMI,0.0060375123,0.006032828,0.31539446,0.31503886,0.31525204,0.0060454467,0.006029201,0.0060271304,0.006029814,0.006035223,0.006038672,0.006038852
Lateral-involved,0.14669012,0.14668822,0.06157606,0.061582327,0.061587486,1.00372894e-07,0.061671056,0.061662875,0.06163423,0.043600913,0.14666945,0.14663729
