strategy,fold,train_f1_NORM,train_f1_AMI,train_f1_IMI,train_f1_LMI,val_f1_NORM,val_f1_AMI,val_f1_IMI,val_f1_LMI,test_f1_NORM,test_f1_AMI,test_f1_IMI,test_f1_LMI,test_sensitivity_NORM,test_sensitivity_AMI,test_sensitivity_IMI,test_sensitivity_LMI,test_specificity_NORM,test_specificity_AMI,test_specificity_IMI,test_specificity_LMI,test_auc_NORM,test_auc_AMI,test_auc_IMI,test_auc_LMI
frozen_backbone,1,0.9032258064516128,0.917981072555205,0.9093931837073982,0.944,0.8609865470852018,0.8774193548387097,0.8640483383685801,0.8985507246376812,0.7193675889328063,0.7340425531914894,0.7007672634271099,0.9879518072289156,0.674074074074074,0.711340206185567,0.7445652173913043,0.9879518072289156,0.925824175824176,0.945273631840796,0.7777777777777778,0.997596153846154,0.9445868945868946,0.9521977740165154,0.8640096618357488,0.9995366079703428
frozen_backbone,2,0.8858267716535433,0.8913385826771654,0.8809917355371901,0.963855421686747,0.8288288288288288,0.89171974522293,0.8676923076923077,0.8378378378378378,0.762962962962963,0.7675675675675676,0.7086614173228346,0.9629629629629628,0.762962962962963,0.7319587628865979,0.7336956521739131,0.9397590361445785,0.912087912087912,0.9577114427860696,0.8031746031746032,0.997596153846154,0.9345136345136346,0.9637636559470688,0.8391649413388544,0.9986098239110288
frozen_backbone,3,0.90138067061144,0.9240506329113924,0.8966087675765095,0.9490196078431372,0.8169014084507042,0.9056603773584906,0.8579881656804734,0.9117647058823528,0.7418181818181818,0.7675675675675676,0.6916890080428955,0.9818181818181818,0.7555555555555555,0.7319587628865979,0.7010869565217391,0.9759036144578314,0.8956043956043956,0.9577114427860696,0.8095238095238095,0.997596153846154,0.9332112332112332,0.9463507206236856,0.8193926846100759,0.9999131139944392
frozen_backbone,4,0.861003861003861,0.8821656050955414,0.8504201680672269,0.8984375,0.8888888888888888,0.8481012658227848,0.8543689320388349,0.8051948051948052,0.8042704626334519,0.7650273224043715,0.7342465753424657,0.9585798816568049,0.837037037037037,0.7216494845360825,0.7282608695652174,0.9759036144578314,0.9093406593406592,0.9601990049751244,0.8507936507936508,0.9879807692307692,0.9488196988196989,0.9620710878596708,0.8393547273982057,0.9980595458758108
frozen_backbone,5,0.9105211406096362,0.92018779342723,0.9065343258891646,0.9554655870445344,0.9205020920502092,0.9419354838709676,0.9333333333333332,0.8955223880597015,0.7761194029850746,0.7553191489361702,0.7049608355091384,0.9433962264150944,0.7703703703703704,0.7319587628865979,0.7336956521739131,0.9036144578313252,0.9203296703296704,0.9502487562189056,0.7968253968253968,0.997596153846154,0.9494708994708996,0.953428732625532,0.8382160110420979,0.9987256719184432
partial_finetune,1,0.9970089730807578,1.0,0.9975267930750206,1.0,1.0,1.0,1.0,1.0,0.9605734767025088,0.8,0.8555240793201133,1.0,0.9925925925925926,0.8247422680412371,0.8206521739130435,1.0,0.9725274725274724,0.9427860696517412,0.9428571428571428,1.0,0.9867928367928368,0.962404472482946,0.9307798481711528,1.0
partial_finetune,2,0.9929789368104311,0.9984496124031008,0.992616899097621,0.9959839357429718,0.9276595744680852,0.9937888198757764,0.9467084639498432,0.984126984126984,0.8862745098039215,0.7857142857142857,0.8157894736842105,0.994011976047904,0.837037037037037,0.7938144329896907,0.842391304347826,1.0,0.9807692307692308,0.945273631840796,0.8698412698412699,0.997596153846154,0.99013024013024,0.9718931117607836,0.9507246376811592,1.0
partial_finetune,3,0.99,0.9968944099378882,0.989317995069844,0.9959839357429718,0.940677966101695,0.9937888198757764,0.9529780564263324,1.0,0.8467741935483871,0.7263157894736842,0.7735368956743003,0.994011976047904,0.7777777777777778,0.711340206185567,0.8260869565217391,1.0,0.978021978021978,0.9402985074626866,0.819047619047619,0.997596153846154,0.9847578347578348,0.9315535723444632,0.9110248447204968,0.9999710379981464
partial_finetune,4,0.996996996996997,1.0,0.9967105263157896,0.9959839357429718,0.9838709677419356,1.0,0.9869281045751634,1.0,0.9428571428571428,0.7755102040816326,0.8314606741573034,1.0,0.9777777777777776,0.7835051546391752,0.8043478260869565,1.0,0.9642857142857144,0.9427860696517412,0.923809523809524,1.0,0.9854904354904356,0.9520951941324306,0.916977225672878,1.0
partial_finetune,5,0.996,0.9938080495356038,0.9942481511914544,0.9959839357429718,0.9547325102880658,0.9937888198757764,0.964401294498382,0.984126984126984,0.9236363636363636,0.7755102040816326,0.8154269972451791,0.975609756097561,0.9407407407407408,0.7835051546391752,0.8043478260869565,0.963855421686747,0.9642857142857144,0.9427860696517412,0.9015873015873016,0.997596153846154,0.9877289377289376,0.9654049340924244,0.898775017253278,0.9999710379981464
full_finetune,1,0.99800796812749,1.0,0.9983498349834984,1.0,1.0,1.0,1.0,1.0,0.925925925925926,0.7668393782383419,0.8238482384823849,1.0,0.925925925925926,0.7628865979381443,0.8260869565217391,1.0,0.9725274725274724,0.945273631840796,0.8952380952380953,1.0,0.9893772893772892,0.9579422475252604,0.9457556935817806,1.0
full_finetune,2,0.999004975124378,1.0,0.9991742361684558,1.0,1.0,0.9937888198757764,0.99672131147541,1.0,0.9377289377289376,0.845771144278607,0.8683473389355743,0.994011976047904,0.9481481481481482,0.8762886597938144,0.842391304347826,1.0,0.9725274725274724,0.9527363184079602,0.9428571428571428,0.997596153846154,0.9968253968253968,0.9623275375698824,0.9565562456866804,1.0
full_finetune,3,0.9990029910269193,1.0,0.9991755976916736,1.0,1.0,0.9937888198757764,0.99672131147541,1.0,0.9110320284697508,0.7734806629834254,0.8324324324324325,1.0,0.9481481481481482,0.7216494845360825,0.8369565217391305,1.0,0.9505494505494504,0.965174129353234,0.8984126984126984,1.0,0.9905779405779406,0.970380058470534,0.945617667356798,1.0
full_finetune,4,0.998,1.0,0.9983552631578948,1.0,1.0,1.0,1.0,1.0,0.8992805755395683,0.8043478260869565,0.8292682926829268,0.994011976047904,0.925925925925926,0.7628865979381443,0.8315217391304348,1.0,0.9505494505494504,0.9676616915422884,0.8984126984126984,0.997596153846154,0.981074481074481,0.966302508078166,0.9378536922015184,1.0
