model_name,test_accuracy,test_balanced_accuracy,test_macro_f1,test_micro_f1,test_weighted_f1,test_f1_NORM,test_sensitivity_NORM,test_specificity_NORM,test_auc_NORM,test_f1_AMI,test_sensitivity_AMI,test_specificity_AMI,test_auc_AMI,test_f1_IMI,test_sensitivity_IMI,test_specificity_IMI,test_auc_IMI,test_f1_LMI,test_sensitivity_LMI,test_specificity_LMI,test_auc_LMI,test_macro_auc,output_dir,checkpoint_path
cnn1d,0.901254993745208,0.5794477853834555,0.6006843957865914,0.901254993745208,0.8978081338193153,0.9449728427830617,0.9569913883219673,0.7069479965899403,0.9438056594446274,0.705421293272371,0.6474820143884892,0.9864145718859516,0.9569753015136457,0.7088651862213674,0.6892213532811968,0.9656135531135531,0.9501438392164336,0.043478260869565216,0.024096385542168676,0.9997165762409912,0.7400218738749638,0.8977366685124177,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/6_model_pretrain_comparison/20260611_012433/cnn1d,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/6_model_pretrain_comparison/20260611_012433/cnn1d/checkpoints/best_macro_f1.pt
gru,0.9054114038981478,0.5705132777666663,0.5935239991014927,0.9054114038981478,0.9005292098497201,0.9476280000976633,0.9660012942406292,0.6884057971014492,0.9466349117696498,0.7196597971867844,0.6594724220623501,0.9874962142517199,0.9621329198917508,0.7068081991215227,0.6565793947636859,0.9728937728937729,0.9517295735546331,0.0,0.0,0.9999595108915702,0.7063305452760917,0.8917069876230314,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/6_model_pretrain_comparison/20260611_012433/gru,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/6_model_pretrain_comparison/20260611_012433/gru/checkpoints/best_macro_f1.pt
lstm,0.8983495419878132,0.5598580945913396,0.5804096419570481,0.8983495419878132,0.8937566737946617,0.9432677946181534,0.9588331922942904,0.6824381926683717,0.9398241285359434,0.671571906354515,0.6019184652278178,0.9862415091074287,0.9417348308866428,0.7067988668555241,0.6786807208432506,0.967445054945055,0.9537073744571195,0.0,0.0,1.0,0.759470304897621,0.8986841596943318,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/6_model_pretrain_comparison/20260611_012433/lstm,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/6_model_pretrain_comparison/20260611_012433/lstm/checkpoints/best_macro_f1.pt
cnn_lstm,0.8867277349582341,0.5703720265208124,0.5728408745059987,0.8867277349582341,0.8858025800921447,0.9368727743606345,0.9363830952262432,0.7320971867007673,0.9281526915371523,0.6703225806451613,0.6229016786570744,0.9829965820101242,0.9236539855641986,0.6841681430181994,0.722203332199932,0.9476190476190476,0.9382629285595964,0.0,0.0,0.9994736415904122,0.7447600752024212,0.883707420215842,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/6_model_pretrain_comparison/20260611_012433/cnn_lstm,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/6_model_pretrain_comparison/20260611_012433/cnn_lstm/checkpoints/best_macro_f1.pt
