,I,aVL,II,III,aVF,aVR,V1,V2,V3,V4,V5,V6
NORM,0.08332811,0.08328461,0.08339179,0.083402835,0.08341057,0.08336141,0.08327981,0.08328059,0.08328202,0.08329466,0.08332534,0.0833578
AMI,0.007345022,0.0073408233,0.00733661,0.0073321555,0.0073331767,0.0073201796,0.23513693,0.23542386,0.235382,0.23536967,0.0073376372,0.0073423344
IMI,0.006035353,0.0060350006,0.3151088,0.31532592,0.31523547,0.0060433485,0.006039028,0.0060377694,0.0060366155,0.0060354983,0.00603332,0.006033667
LMI,0.23527767,0.2354377,0.00733623,0.0073409667,0.007338495,0.0073476247,0.0073648933,0.0073617534,0.0073581804,0.007349019,0.23532563,0.23516223
