split,macro_f1,micro_f1,weighted_f1,accuracy,loss
val,0.9981763118045954,0.9974293059125964,0.9974283581288786,0.9974293059125964,0.006428598855881877
test,0.9181050759128297,0.9158316633266533,0.9158774746601139,0.9158316633266533,0.3314768498836231
