epoch,train_loss,val_loss,train_macro_f1,val_macro_f1,train_accuracy,val_accuracy,learning_rate,epoch_time,train_f1_Normal,val_f1_Normal,train_f1_Anterior,val_f1_Anterior,train_f1_Inferior,val_f1_Inferior,train_f1_Lateral,val_f1_Lateral
1,1.2981882360246446,1.110581701014115,0.36378048756436804,0.3846286366209999,0.38055555555555554,0.5751291400790033,0.0001,2.6124610900878906,0.45132743362831856,0.7346740974073177,0.26126126126126126,0.09853249475890985,0.21750663129973474,0.16750150270486877,0.5250266240681576,0.5378064516129032
2,1.1370204342736139,0.7409831724316108,0.4737125303249914,0.4819551964921577,0.49444444444444446,0.7941355211182012,0.0001,2.5650527477264404,0.5995249406175772,0.907182266490894,0.3286944996686547,0.26596445029624755,0.33035714285714285,0.13248407643312102,0.6362735381565907,0.6221899927483684
3,1.084863239924113,0.6216706848369112,0.5113169875865291,0.5193477648984688,0.5261111111111111,0.8116074141598298,0.0001,2.5498812198638916,0.6264478764478765,0.9175050301810865,0.40145985401459855,0.33379310344827584,0.3684895833333333,0.23042505592841164,0.648870636550308,0.5956678700361011
4,1.0246146157052782,0.6909820209770933,0.5505338147923096,0.5011246353344654,0.5597222222222222,0.7752202977818292,0.0001,2.5109312534332275,0.6646525679758308,0.9125113785779306,0.44910549043800124,0.3233240223463687,0.4175044352454169,0.24448217317487267,0.6708727655099895,0.5241809672386896
5,0.954777864880032,0.5924169274312462,0.597781300208585,0.5138193220404074,0.6025,0.8027195381343056,0.0001,2.488588809967041,0.6824498198661864,0.9245901639344263,0.5430232558139535,0.36283185840707965,0.48132780082987553,0.24319629415170815,0.6843243243243243,0.5246589716684156
6,0.9199674563937718,0.5413947703808646,0.6201726851235305,0.5601984331664528,0.6213888888888889,0.8087967183226983,0.0001,2.4685380458831787,0.6744186046511628,0.9203100158982512,0.5998848589522164,0.4085188770571152,0.508169014084507,0.3019648397104447,0.6982182628062361,0.61
7,0.9003093862533569,0.5640621517647078,0.6246318870656841,0.5566997901502884,0.6263888888888889,0.7936797326040718,0.0001,2.4609241485595703,0.6880783886771911,0.915503679269221,0.6013215859030837,0.4113087095303238,0.5209790209790209,0.3697683868346201,0.6881485527034408,0.5302183849669884
8,0.8648226663801405,0.5451700410213343,0.6466756520546061,0.5672186522141233,0.6477777777777778,0.8009723488301428,0.0001,2.4536056518554688,0.7096418732782369,0.9160761287710063,0.6296092460099064,0.4280412371134021,0.5438898450946644,0.34457706279190453,0.7035616438356165,0.5801801801801801
9,0.8354466289944119,0.5603570239553333,0.6611118587909437,0.5735074478615467,0.6616666666666666,0.7851716803403221,0.0001,2.4520199298858643,0.711900915455035,0.9064658530251882,0.6552675124103695,0.4278828327771598,0.5723981900452488,0.3707482993197279,0.7048808172531215,0.5889328063241107
10,0.7969452897707622,0.4860372761396317,0.6857234631168244,0.6164263325013406,0.6866666666666666,0.817228805834093,0.0001,2.5123372077941895,0.7165311653116531,0.9192338873125253,0.6938997821350763,0.49653579676674364,0.6042749855574813,0.4505781424841477,0.7281879194630873,0.5993575034419458
11,0.7596220228407118,0.4762527853821013,0.6977499554508894,0.6210441710510988,0.6980555555555555,0.8189759951382558,0.0001,2.5431134700775146,0.7227448810182623,0.9202335618177202,0.7153846153846154,0.505945945945946,0.6287323943661972,0.46295585412667944,0.7241379310344828,0.5950413223140496
12,0.7634799287054274,0.5058136621314101,0.6983214074557419,0.6077797492590995,0.6986111111111111,0.8056821634761471,0.0001,2.472003698348999,0.7451843698403963,0.9129561949863592,0.6926882902693787,0.463030303030303,0.6309859154929578,0.4348214285714286,0.7244270542202348,0.6203110704483074
13,0.7281071933110556,0.5029955800635153,0.7150452042334575,0.6187617311248047,0.7155555555555555,0.8078851412944393,0.0001,2.4609227180480957,0.7447154471544716,0.91236395522773,0.7214912280701754,0.49508656995788486,0.6594409583571021,0.45464809936018064,0.734533183352081,0.6129482999534234
14,0.7085302731725904,0.48319126458669354,0.7224714957709601,0.6343787609553911,0.7225,0.8137344272257673,0.0001,2.4437386989593506,0.7472160356347439,0.9135751509210052,0.7266811279826464,0.5255972696245734,0.6696528555431132,0.46244045437889336,0.7463359639233371,0.6359021688970927
15,0.7034988260269165,0.5262287344678273,0.7229329456812624,0.6185730501715594,0.7230555555555556,0.7945913096323306,0.0001,2.500661849975586,0.7449035812672177,0.9021343873517786,0.725797728501893,0.4977973568281938,0.6786922209695603,0.46812816188870154,0.7423382519863791,0.6062322946175638
16,0.679843644036187,0.4743231040878667,0.7328645587659974,0.6241021910171247,0.7330555555555556,0.8166970525676086,0.0001,2.4835433959960938,0.7420612813370474,0.9195190585827577,0.7497291440953413,0.4914798206278027,0.6827896512935883,0.4589507408890669,0.7568781583380123,0.6264591439688716
17,0.6879900852839153,0.5275527481176469,0.7369374878620323,0.6258650244704969,0.7372222222222222,0.7888179884533576,0.0001,2.4955270290374756,0.7526170798898072,0.8960962880119295,0.7472885032537961,0.5220804710500491,0.6927881885292447,0.45717626425021923,0.755056179775281,0.6281070745697896
18,0.6687572775946723,0.5179765207069835,0.7408413144077038,0.6309957804359784,0.7411111111111112,0.7891978122151322,0.0001,2.5119519233703613,0.7507002801120448,0.8939491126790677,0.759956942949408,0.4977973568281938,0.6937394247038917,0.4558730158730159,0.7589686098654709,0.6763636363636364
19,0.6571663581000434,0.45851911131243905,0.7449124048299893,0.6352433116468494,0.745,0.8223184442418717,0.0001,2.4682774543762207,0.7527839643652561,0.9207693485026274,0.7670790747713825,0.5192027224112785,0.6901172529313233,0.4727838258164852,0.7696693272519954,0.6282173498570067
20,0.6287632701132032,0.46254125898531306,0.7619149991837861,0.6482562650237829,0.7619444444444444,0.813962321482832,0.0001,2.5035383701324463,0.7683679192372406,0.909724026817733,0.7881081081081082,0.5234248788368336,0.7178354500276091,0.4593951749915053,0.7733485193621867,0.7004809794490598
21,0.6142291980319553,0.47803571928927546,0.765161808163844,0.6377718794554601,0.7652777777777777,0.8127468854451535,0.0001,2.4907243251800537,0.7722007722007722,0.9135418287433225,0.7729521715228147,0.5157537566650509,0.7353603603603603,0.46790890269151136,0.7801339285714286,0.6538830297219559
22,0.6192119942771064,0.4816859283098802,0.7579710312278591,0.6513998730052866,0.7577777777777778,0.8127468854451535,0.0001,2.4771857261657715,0.7705817782656421,0.9095195682925551,0.7837541163556532,0.5281007751937985,0.698237885462555,0.4737201365187713,0.7793103448275862,0.6942590120160214
23,0.6240087331665887,0.5377102061377148,0.7655170335075813,0.6242391188912997,0.7655555555555555,0.7862351868732907,0.0001,2.4793529510498047,0.7750556792873051,0.8952534191472244,0.7748236570808464,0.49274193548387096,0.7259507829977628,0.457931920359666,0.7862380146644106,0.6510292005744376
24,0.600641854206721,0.4623576094498572,0.7741630507208442,0.6586982699501431,0.7741666666666667,0.8183682771194166,0.0001,2.5286710262298584,0.7796797349530646,0.9119899953103017,0.7921866521975041,0.5404580152671755,0.7279821627647715,0.4780821917808219,0.7968036529680366,0.7042628774422736
25,0.5865431772338019,0.5530137303425381,0.7790795329245097,0.6470427340419009,0.7791666666666667,0.7794743239137041,0.0001,2.421316385269165,0.7849099099099099,0.8799606965445712,0.801953336950624,0.5562565720294427,0.735964424680378,0.43926247288503256,0.7934904601571269,0.7126911947085572
26,0.5852474167611864,0.45402043196648606,0.7792229239224242,0.6512335010811732,0.7791666666666667,0.8201154664235795,0.0001,2.3164594173431396,0.7749576988155669,0.91724639185962,0.8056004308023694,0.5242905242905243,0.7301762114537445,0.48341566690190546,0.806157354618016,0.6799814212726428
27,0.5657112100389269,0.45395783945551327,0.7804242100870373,0.6728897144123799,0.7802777777777777,0.8202673959282892,0.0001,2.3149256706237793,0.7850255246738513,0.9094897372956599,0.8062770562770563,0.5769956002514142,0.7388465723612623,0.471656749138741,0.7915476870359794,0.7334167709637046
28,0.5708296834097968,0.45690857993726924,0.7775204422244688,0.665733731990537,0.7772222222222223,0.8151777575205105,0.0001,2.3592002391815186,0.7816742081447964,0.9084037583328959,0.7993492407809111,0.5803224013340745,0.7297444263186514,0.46542469213766974,0.7993138936535163,0.7087840761575076
29,0.56485502243042,0.4152194755449008,0.7854854630677484,0.667678713611167,0.7852777777777777,0.8353843816469159,0.0001,2.3666505813598633,0.7970770095559303,0.923210367875912,0.7995618838992333,0.5613425925925926,0.7450765864332604,0.4718761796904492,0.8002263723825693,0.7142857142857143
30,0.547300616370307,0.4966724125837635,0.7902993184094702,0.6467368713232279,0.7902777777777777,0.8043147979337587,0.0001,2.5150203704833984,0.7882882882882883,0.9037467018469657,0.8107221006564551,0.5212435233160622,0.7498619547211486,0.4781165107153637,0.8123249299719888,0.6838407494145199
31,0.5591371027628581,0.5660937789434795,0.7847903666239078,0.6441607629900806,0.7847222222222222,0.7692950470981464,0.0001,2.452791929244995,0.7767756482525366,0.869858469703671,0.8157327586206896,0.5315040650406504,0.7386301369863014,0.4463320463320463,0.8080229226361032,0.7289484708839548
32,0.5316038611200121,0.5952219362318316,0.7908432942490844,0.6249741194756853,0.7908333333333334,0.7646611972044971,0.0001,2.4883577823638916,0.7864293659621802,0.8692048405813119,0.8144943212547323,0.48833189282627487,0.7480577136514983,0.4343675417661098,0.8143917761279269,0.7079922027290448
33,0.5231933559311761,0.5592610800168464,0.8051310118133027,0.6541552239073125,0.8052777777777778,0.7771194165907019,5e-05,2.4827356338500977,0.8097120271033315,0.8758779631255488,0.8282175551965536,0.5778567199526347,0.7679465776293823,0.4439959636730575,0.8146478873239437,0.718890248878009
