,I,aVL,II,III,aVF,aVR,V1,V2,V3,V4,V5,V6
NORM,0.08336141,0.08336227,0.08334736,0.083328456,0.0833269,0.08327629,0.08326915,0.08324144,0.08325442,0.08333575,0.08344308,0.083453424
AMI,0.007335627,0.007338626,0.0073280274,0.0073341522,0.0073299115,0.0073234756,0.2352866,0.23531611,0.23541525,0.23533468,0.00732936,0.007328377
IMI,0.006037022,0.00603143,0.3154419,0.31498247,0.31525815,0.0060469243,0.0060295044,0.0060275346,0.0060302266,0.0060359933,0.006039622,0.0060391985
Lateral-involved,0.14668062,0.14666633,0.061581682,0.06157539,0.061588027,1.0038461e-07,0.061674695,0.06166927,0.061639767,0.043604333,0.14667995,0.1466398
