split,macro_f1,micro_f1,weighted_f1,balanced_accuracy,macro_auc,accuracy,loss
val,0.8565196798954761,0.8586118251928021,0.8578280378119915,0.8819572774528915,0.9781067201201468,0.8586118251928021,0.39581814262738263
test,0.800538727704082,0.7755511022044088,0.7771015646640913,0.792094103542013,0.9340130139276467,0.7755511022044088,0.5611268163085701
