rank,strategy,fold,status,error,train_main_macro_f1,val_main_macro_f1,test_main_macro_f1,test_main_micro_f1,test_main_weighted_f1,test_accuracy,test_balanced_accuracy,test_macro_auc,test_loss,checkpoint_path,output_dir,trainable_params,total_params,trainable_ratio,train_f1_NORM,val_f1_NORM,test_f1_NORM,test_sensitivity_NORM,test_specificity_NORM,test_auc_NORM,train_f1_AMI,val_f1_AMI,test_f1_AMI,test_sensitivity_AMI,test_specificity_AMI,test_auc_AMI,train_f1_IMI,val_f1_IMI,test_f1_IMI,test_sensitivity_IMI,test_specificity_IMI,test_auc_IMI,train_f1_LMI,val_f1_LMI,test_f1_LMI,test_sensitivity_LMI,test_specificity_LMI,test_auc_LMI
1,partial_finetune,1,OK,,0.99454567490613,0.9928975214874876,0.8900360375076202,0.8954635108481263,0.8953400832555218,0.8954635108481263,0.898254487858067,0.9864148494825464,0.3597877859716584,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260613_180950/transfer_strategies/partial_finetune/fold_1/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260613_180950/transfer_strategies/partial_finetune/fold_1,448773,512933,0.8749154372988285,0.995959595959596,0.9959839357429718,0.9597069597069596,0.9290780141843972,0.9972677595628416,0.9948455605937294,0.9953488372093025,1.0,0.8085106382978723,0.7835051546391752,0.9634146341463414,0.9829268292682928,0.9934102141680397,0.986842105263158,0.8876712328767123,0.8804347826086957,0.9411764705882352,0.96824942791762,0.9934640522875816,0.9887640449438202,0.9042553191489362,1.0,0.957345971563981,0.9996375801505436
2,full_finetune,5,OK,,0.9986626462127745,0.9923487425206888,0.8871562897514432,0.8954635108481263,0.8944590468237252,0.8954635108481263,0.8945986160517022,0.9843875005324624,0.5791864602934914,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260613_180950/transfer_strategies/full_finetune/fold_5/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260613_180950/transfer_strategies/full_finetune/fold_5,512933,512933,1.0,0.998992950654582,1.0,0.9424460431654677,0.9290780141843972,0.9836065573770492,0.993992946556602,1.0,0.9937888198757764,0.7978142076502732,0.7525773195876289,0.9682926829268292,0.973170731707317,0.9975267930750206,0.986842105263158,0.9041095890410958,0.8967391304347826,0.9504643962848296,0.9703863238659308,0.9981308411214952,0.9887640449438202,0.9042553191489362,1.0,0.957345971563981,1.0
3,partial_finetune,4,OK,,0.9917112796044962,0.9904476000111642,0.8808405506366516,0.8875739644970414,0.8867099788812175,0.8875739644970414,0.8791536003187908,0.9868229115084662,0.3120174765351726,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260613_180950/transfer_strategies/partial_finetune/fold_4/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260613_180950/transfer_strategies/partial_finetune/fold_4,448773,512933,0.8749154372988285,0.9909547738693468,1.0,0.9446494464944648,0.9078014184397164,0.994535519125683,0.9979459752741928,0.9953488372093025,0.9937888198757764,0.7932960893854749,0.7319587628865979,0.973170731707317,0.9790042745788282,0.9917355371900828,0.987012987012987,0.8854166666666666,0.9239130434782608,0.9071207430340558,0.980767936465204,0.9888059701492538,0.9809885931558936,0.9,0.9529411764705882,0.966824644549763,0.9895734597156398
4,partial_finetune,2,OK,,0.9901628756941016,0.9867228661923584,0.8762184396853461,0.8757396449704142,0.8741192009081202,0.8757396449704142,0.8913769934478459,0.979618274992888,0.3807661138930499,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260613_180950/transfer_strategies/partial_finetune/fold_2/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260613_180950/transfer_strategies/partial_finetune/fold_2,448773,512933,0.8749154372988285,0.9889224572004028,0.9879518072289156,0.9220338983050848,0.9645390070921984,0.9508196721311476,0.9946130294926948,0.989247311827957,0.9938650306748468,0.85,0.8762886597938144,0.9560975609756096,0.9849635403570532,0.990916597853014,0.98,0.8427299703264095,0.7717391304347826,0.9659442724458204,0.9431619329654056,0.9915651358950328,0.9850746268656716,0.8901098901098901,0.9529411764705882,0.962085308056872,0.995734597156398
5,full_finetune,4,OK,,0.9995148109596306,0.996472073677956,0.8685670196027454,0.873767258382643,0.8737855528245383,0.873767258382643,0.883308835684154,0.9794704578974196,0.6298127026835372,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260613_180950/transfer_strategies/full_finetune/fold_4/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260613_180950/transfer_strategies/full_finetune/fold_4,512933,512933,1.0,0.998992950654582,1.0,0.9458483754512635,0.9290780141843972,0.9863387978142076,0.991357594078208,1.0,1.0,0.7755102040816326,0.7835051546391752,0.9439024390243902,0.967764646718632,1.0,0.9934640522875816,0.8628571428571429,0.8206521739130435,0.953560371517028,0.9587595907928388,0.9990662931839402,0.9924242424242424,0.8900523560209425,1.0,0.9502369668246444,1.0
6,partial_finetune,5,OK,,0.9935668806784956,0.9920311332200048,0.8659806105799165,0.8658777120315582,0.8636615598612429,0.8658777120315582,0.8738527033642643,0.9836688478769784,0.4358258052220241,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260613_180950/transfer_strategies/partial_finetune/fold_5/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260613_180950/transfer_strategies/partial_finetune/fold_5,448773,512933,0.8749154372988285,0.991919191919192,0.9880478087649402,0.9006622516556292,0.9645390070921984,0.9316939890710384,0.9920551873813124,0.9953632148377124,0.9937888198757764,0.8402366863905325,0.7319587628865979,0.997560975609756,0.990369625345738,0.9925925925925926,0.9900332225913622,0.8376068376068376,0.7989130434782609,0.9380804953560372,0.9536445012787724,0.994392523364486,0.99625468164794,0.8854166666666666,1.0,0.9478672985781992,0.9986060775020908
7,no_pretrain,3,OK,,0.9926729302029051,0.9904476000111642,0.8531156076684763,0.8599605522682445,0.8588325512736361,0.8599605522682445,0.847031601581762,0.9621323581638432,0.6827327463283577,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260613_180950/transfer_strategies/no_pretrain/fold_3/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260613_180950/transfer_strategies/no_pretrain/fold_3,512933,512933,1.0,0.9909547738693468,1.0,0.9148936170212766,0.9148936170212766,0.9672131147540984,0.9873464325853584,0.9953632148377124,0.9937888198757764,0.7976878612716763,0.711340206185567,0.9829268292682928,0.9678400804626603,0.9909465020576133,0.987012987012987,0.8541666666666666,0.8913043478260869,0.8885448916408669,0.9241486068111454,0.9934272300469484,0.9809885931558936,0.8457142857142858,0.8705882352941177,0.962085308056872,0.9691943127962086
8,full_finetune,1,OK,,1.0,0.987539206362929,0.8472650246606805,0.8520710059171598,0.8519632264367873,0.8520710059171598,0.8659259356393311,0.9766574752935444,0.5300492390373049,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260613_180950/transfer_strategies/full_finetune/fold_1/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260613_180950/transfer_strategies/full_finetune/fold_1,512933,512933,1.0,1.0,0.992,0.9390681003584228,0.9290780141843972,0.9808743169398908,0.9905437352245864,1.0,1.0,0.736318407960199,0.7628865979381443,0.926829268292683,0.9591149107367364,1.0,0.9767441860465116,0.8328445747800587,0.7717391304347826,0.953560371517028,0.9571106474626464,1.0,0.9814126394052044,0.8808290155440415,1.0,0.9454976303317536,0.9998606077502092
9,partial_finetune,3,OK,,0.9851357486170252,0.9922406141606096,0.8360467047283097,0.8441814595660749,0.8439765958382348,0.8441814595660749,0.8490114314415506,0.9807504234571648,0.3997200277194939,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260613_180950/transfer_strategies/partial_finetune/fold_3/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260613_180950/transfer_strategies/partial_finetune/fold_3,448773,512933,0.8749154372988285,0.9848942598187312,1.0,0.8872180451127819,0.8368794326241135,0.9808743169398908,0.985893113203891,0.9922720247295208,0.9937888198757764,0.7582417582417582,0.711340206185567,0.9609756097560976,0.976514961025899,0.9802306425041186,0.99009900990099,0.8571428571428571,0.8478260869565217,0.9256965944272446,0.9605936195988692,0.9831460674157304,0.9850746268656716,0.8415841584158416,1.0,0.924170616113744,1.0
10,full_finetune,2,OK,,0.999559936902434,0.9896948436895912,0.8334068944106799,0.8382642998027613,0.833730868880526,0.8382642998027613,0.852003800413897,0.9775621457009044,0.5688720821628909,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260613_180950/transfer_strategies/full_finetune/fold_2/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260613_180950/transfer_strategies/full_finetune/fold_2,512933,512933,1.0,1.0,0.9959514170040484,0.913907284768212,0.9787234042553192,0.9371584699453552,0.9933341084370034,1.0,0.9876543209876544,0.7272727272727273,0.7010309278350515,0.946341463414634,0.9668845863716368,0.9991769547325104,0.99009900990099,0.8023952095808383,0.7282608695652174,0.9504643962848296,0.9505317000942252,0.999062792877226,0.9850746268656716,0.8900523560209425,1.0,0.9502369668246444,0.9994981879007528
