split,label,internal_label,f1_score,sensitivity,specificity,auc,support
val,NORM,Normal,0.9960159362549801,1.0,0.9962121212121212,1.0,125
val,AMI,Anterior,1.0,1.0,1.0,1.0,81
val,IMI,Inferior,0.9933774834437086,0.9868421052631579,1.0,0.9998612036420165,152
val,LMI,Lateral,0.9841269841269841,1.0,0.9972067039106145,1.0,31
test,NORM,Normal,0.7948717948717948,0.9185185185185185,0.8543956043956044,0.9717134717134717,135
test,AMI,Anterior,0.7978723404255319,0.7731958762886598,0.9601990049751243,0.9401959275786018,97
test,IMI,Inferior,0.9081081081081082,0.9130434782608695,0.9428571428571428,0.9807453416149069,184
test,LMI,Lateral,0.703125,0.5421686746987951,1.0,0.9988994439295644,83
