split,label,internal_label,f1_score,sensitivity,specificity,auc,support
val,NORM,Normal,0.991869918699187,0.9838709677419355,1.0,1.0,124
val,AMI,Anterior,0.9634146341463414,0.9753086419753086,0.9902200488997555,0.9953816897582178,81
val,IMI,Inferior,0.9802631578947368,0.9867549668874173,0.9882005899705014,0.9941393658793881,151
val,Lateral-involved MI,Lateral,0.9774436090225563,0.9701492537313433,0.9943820224719101,0.9949270501425457,134
test,NORM,Normal,0.9025270758122743,0.8865248226950354,0.9699453551912568,0.9848661008409875,141
test,AMI,Anterior,0.8654970760233918,0.7628865979381443,1.0,0.9548654764898163,97
test,IMI,Inferior,0.7546296296296297,0.8858695652173914,0.7368421052631579,0.9311482029882892,184
test,Lateral-involved MI,Lateral,0.3582089552238806,0.2823529411764706,0.9407582938388626,0.9101756342347366,85
