split,label,internal_label,f1_score
val,NORM,Normal,0.9997100608872137
val,AMI,Anterior,1.0
val,IMI,Inferior,0.9997801714662563
val,LMI,Lateral,1.0
test,NORM,Normal,0.8735632183908046
test,AMI,Anterior,0.5935420261276806
test,IMI,Inferior,0.7283641820910455
test,LMI,Lateral,0.9938271604938271
